,TMAX
1881,5.3
1882,
1883,
1884,-2.7
1885,0.5
1886,17.4
1887,-0.2
1888,2.6
1889,5.5
1890,7.9
1891,9.7
1892,1.6
1893,4.2
1894,15.9
1895,-0.3
1896,9.8
1897,11.4
1898,2.1
1899,7.2
1900,4.7
1901,8.6
1902,2.1
1903,
1904,3.9
1905,5.8
1906,9.4
1907,0.1
1908,9.1
1909,3.1
1910,13.0
1911,2.9
1912,4.6
1913,2.2
1914,4.9
1915,7.9
1916,7.2
1917,9.1
1918,3.9
1919,5.4
1920,21.0
1921,14.7
1922,5.1
1923,4.9
1924,6.4
1925,15.4
1926,3.4
1927,4.4
1928,4.8
1929,0.4
1930,14.1
1931,6.6
1932,5.6
1933,5.1
1934,6.4
1935,0.7
1936,9.7
1937,15.1
1938,10.8
1939,8.0
1940,7.1
1941,4.1
1942,7.0
1943,10.6
1944,8.2
1945,3.6
1946,1.0
1947,6.9
1948,3.2
1949,4.7
1950,11.2
1951,9.8
1952,15.5
1953,11.3
1954,9.1
1955,5.8
1956,2.3
1957,3.9
1958,7.8
1959,16.1
1960,13.7
1961,5.7
1962,6.4
1963,9.6
1964,10.9
1965,9.6
1966,-4.6
1967,12.5
1968,8.3
1969,8.9
1970,5.6
1971,1.0
1972,10.6
1973,8.2
1974,7.5
1975,5.2
1976,15.8
1977,8.7
1978,9.8
1979,-0.8
1980,6.8
1981,2.5
1982,3.7
1983,3.7
1984,12.2
1985,9.7
1986,7.7
1987,9.2
1988,4.7
1989,10.4
1990,14.0
1991,6.0
1992,7.7
1993,3.3
1994,14.2
1995,14.5
1996,7.3
1997,5.4
1998,5.2
1999,10.6
2000,11.3
2001,5.3
2002,7.8
2003,7.7
2004,8.3
2005,18.6
2006,5.6
2007,14.5
2008,9.4
2009,7.6
2010,10.5
2011,7.8
2012,8.0
2013,8.3
2014,
2016,
2017,0.7
2018,19.4
2019,
