,TMAX
1881,-3.6
1882,
1883,
1884,-3.7
1885,-6.9
1886,-2.5
1887,-8.1
1888,-15.2
1889,-3.5
1890,4.3
1891,0.9
1892,-2.2
1893,2.6
1894,-1.2
1895,-1.5
1896,-4.2
1897,-1.2
1898,-5.3
1899,-1.5
1900,1.4
1901,1.3
1902,-1.0
1903,
1904,1.5
1905,2.7
1906,2.0
1907,-3.5
1908,-5.8
1909,-2.0
1910,0.4
1911,2.0
1912,-1.7
1913,1.5
1914,0.6
1915,0.2
1916,3.2
1917,-8.5
1918,-0.9
1919,-2.6
1920,-0.3
1921,0.9
1922,-4.1
1923,3.7
1924,-1.7
1925,-3.8
1926,-5.3
1927,3.6
1928,-4.2
1929,2.9
1930,-4.3
1931,-4.6
1932,-2.3
1933,1.7
1934,1.5
1935,1.9
1936,2.6
1937,2.9
1938,4.4
1939,0.3
1940,-8.3
1941,-2.4
1942,-17.7
1943,4.9
1944,2.0
1945,2.6
1946,-6.5
1947,-5.6
1948,1.7
1949,0.8
1950,-2.9
1951,-4.4
1952,-7.3
1953,2.6
1954,-0.3
1955,1.0
1956,0.4
1957,-2.5
1958,2.4
1959,7.0
1960,-1.5
1961,2.6
1962,-6.5
1963,-9.0
1964,-5.3
1965,-0.8
1966,-7.0
1967,3.6
1968,2.0
1969,-5.3
1970,0.2
1971,-1.0
1972,3.6
1973,1.6
1974,3.6
1975,4.8
1976,-2.1
1977,3.0
1978,3.4
1979,0.9
1980,3.4
1981,-7.8
1982,3.5
1983,3.4
1984,2.5
1985,1.7
1986,2.2
1987,-4.1
1988,-1.4
1989,7.3
1990,-0.6
1991,-2.0
1992,3.2
1993,2.3
1994,2.5
1995,1.0
1996,4.3
1997,2.6
1998,-6.1
1999,1.3
2000,3.0
2001,3.4
2002,1.6
2003,4.3
2004,7.0
2005,-7.7
2006,0.3
2007,4.5
2008,6.3
2009,1.9
2010,-0.5
2011,6.3
2012,2.1
2013,-4.7
2014,
2015,
2016,
2017,
2018,
2019,
