,02-18
1881,-3.0
1882,
1883,
1884,-2.3
1885,0.5
1886,-7.1
1887,-3.4
1888,-5.3
1889,-9.1
1890,-4.7
1891,-1.9
1892,-13.3
1893,-7.0
1894,-8.2
1895,-10.0
1896,-3.1
1897,-1.4
1898,-7.9
1899,-2.0
1900,-20.7
1901,-11.3
1902,-1.8
1903,
1904,-3.7
1905,3.0
1906,-3.5
1907,-1.7
1908,-0.8
1909,-11.5
1910,2.1
1911,0.7
1912,-0.7
1913,-3.4
1914,1.7
1915,-4.0
1916,1.5
1917,-15.9
1918,-3.8
1919,-3.6
1920,-0.2
1921,-11.3
1922,-6.1
1923,-13.1
1924,-3.1
1925,4.7
1926,1.5
1927,-8.2
1928,-10.9
1929,-9.9
1930,-0.9
1931,-4.2
1932,3.6
1933,-11.0
1934,3.9
1935,-4.6
1936,-12.4
1937,-0.3
1938,1.7
1939,2.4
1940,-15.0
1941,-6.3
1942,-8.6
1943,0.3
1944,-6.8
1945,-6.8
1946,-6.3
1947,-9.8
1948,-7.5
1949,3.5
1950,-8.0
1951,-9.9
1952,-6.2
1953,-5.6
1954,-11.0
1955,-8.4
1956,-8.0
1957,2.2
1958,-5.9
1959,-0.3
1960,-1.1
1961,1.7
1962,-3.1
1963,-3.1
1964,-14.3
1965,-1.7
1966,-3.4
1967,-3.7
1968,-3.3
1969,-4.4
1970,-7.9
1971,-2.6
1972,1.8
1973,3.0
1974,2.2
1975,-11.4
1976,-1.0
1977,-2.8
1978,-9.5
1979,-7.7
1980,-7.6
1981,-6.5
1982,-1.7
1983,-0.4
1984,-2.9
1985,-8.4
1986,-9.2
1987,-1.0
1988,-4.9
1989,-0.7
1990,-2.6
1991,-7.7
1992,-3.4
1993,-2.2
1994,-4.6
1995,3.6
1996,-7.2
1997,-6.3
1998,-7.1
1999,-0.4
2000,2.2
2001,0.4
2002,2.9
2003,4.2
2004,-8.0
2005,-2.6
2006,-2.6
2007,0.8
2008,0.3
2009,-2.7
2010,-11.7
2011,-17.8
2012,-5.5
2013,-3.6
2014,
2015,
2016,2.3
2017,2.0
2018,-2.9
2019,
