,02-24
1881,-6.6
1882,
1883,
1884,-9.6
1885,-3.1
1886,-10.9
1887,-4.0
1888,-11.3
1889,1.3
1890,-0.6
1891,0.1
1892,0.7
1893,-14.6
1894,-1.2
1895,-3.5
1896,-10.9
1897,-1.4
1898,-6.4
1899,-11.0
1900,0.0
1901,-3.4
1902,-0.4
1903,
1904,-3.0
1905,1.0
1906,-4.8
1907,1.0
1908,-6.4
1909,-7.1
1910,2.7
1911,2.5
1912,-11.1
1913,-5.0
1914,-6.5
1915,1.4
1916,-7.0
1917,-9.8
1918,-5.9
1919,-13.5
1920,1.8
1921,-0.6
1922,0.4
1923,-14.1
1924,-2.9
1925,-4.7
1926,-5.3
1927,-4.3
1928,-4.2
1929,-10.6
1930,-1.9
1931,-6.3
1932,-8.5
1933,-9.1
1934,-6.3
1935,3.0
1936,-9.7
1937,-2.5
1938,-0.4
1939,0.6
1940,1.6
1941,0.6
1942,-6.3
1943,2.1
1944,-3.5
1945,-2.8
1946,-7.6
1947,-9.8
1948,-5.2
1949,2.4
1950,-2.5
1951,-3.2
1952,-2.1
1953,-8.5
1954,-8.8
1955,-13.5
1956,-7.5
1957,0.5
1958,-9.8
1959,-3.3
1960,-8.8
1961,2.4
1962,-1.5
1963,-5.3
1964,-1.2
1965,-9.7
1966,1.2
1967,-2.3
1968,-10.7
1969,-2.6
1970,1.0
1971,-4.4
1972,0.9
1973,-6.9
1974,0.6
1975,0.8
1976,-1.0
1977,-1.7
1978,-5.6
1979,-3.5
1980,-2.5
1981,-3.7
1982,-3.5
1983,-1.3
1984,-3.5
1985,-12.6
1986,-11.4
1987,-9.5
1988,-3.1
1989,2.6
1990,4.3
1991,4.0
1992,1.2
1993,2.4
1994,-2.1
1995,3.3
1996,-1.7
1997,5.1
1998,3.7
1999,0.4
2000,-7.6
2001,-11.5
2002,1.8
2003,-2.7
2004,-1.5
2005,-4.1
2006,-3.3
2007,-10.5
2008,1.5
2009,-3.6
2010,1.9
2011,-9.3
2012,1.3
2013,-1.7
2014,
2015,3.4
2016,1.6
2017,-1.0
2018,
2019,
