,03-12
1881,-0.6
1882,
1883,
1884,-3.9
1885,-4.6
1886,-3.7
1887,-8.9
1888,-11.7
1889,-3.5
1890,3.3
1891,7.0
1892,0.5
1893,-4.5
1894,-2.2
1895,2.8
1896,-4.4
1897,-4.0
1898,-3.1
1899,3.0
1900,3.4
1901,1.5
1902,-12.9
1903,
1904,-1.4
1905,3.6
1906,-6.0
1907,-1.8
1908,-9.4
1909,-7.4
1910,3.6
1911,4.0
1912,-1.3
1913,1.9
1914,-5.2
1915,-4.4
1916,-2.9
1917,-9.1
1918,-3.5
1919,2.7
1920,-2.3
1921,7.3
1922,0.9
1923,0.9
1924,-6.0
1925,-6.7
1926,-0.6
1927,2.1
1928,-0.9
1929,1.7
1930,-5.1
1931,-0.7
1932,-11.3
1933,0.8
1934,-5.3
1935,4.3
1936,1.6
1937,-3.1
1938,-2.6
1939,-0.9
1940,-7.4
1941,-4.6
1942,-13.7
1943,3.3
1944,2.9
1945,-4.4
1946,-4.2
1947,-4.5
1948,-4.9
1949,3.4
1950,-1.3
1951,-5.1
1952,2.6
1953,-4.5
1954,-0.8
1955,0.7
1956,5.0
1957,1.6
1958,-0.8
1959,4.5
1960,-2.4
1961,3.8
1962,-1.8
1963,-3.0
1964,-2.8
1965,-2.0
1966,-3.2
1967,4.4
1968,-5.3
1969,-3.9
1970,3.8
1971,-8.3
1972,-0.7
1973,1.9
1974,6.2
1975,3.9
1976,-2.5
1977,6.8
1978,0.8
1979,1.9
1980,0.1
1981,-10.0
1982,-2.6
1983,-3.0
1984,4.0
1985,1.1
1986,1.1
1987,-1.6
1988,-0.5
1989,4.6
1990,1.5
1991,1.8
1992,5.5
1993,-1.0
1994,7.0
1995,2.9
1996,1.8
1997,4.7
1998,-8.1
1999,-1.0
2000,-2.5
2001,4.3
2002,4.7
2003,4.0
2004,6.2
2005,-6.8
2006,-4.6
2007,6.3
2008,7.1
2009,-0.3
2010,0.9
2011,1.8
2012,5.0
2013,-2.4
2014,
2015,6.8
2016,4.8
2017,
2018,2.3
2019,-2.9
