,08-18
1881,21.2
1882,
1883,
1884,19.4
1885,18.3
1886,22.8
1887,18.5
1888,17.7
1889,18.1
1890,20.3
1891,13.7
1892,17.3
1893,16.3
1894,22.4
1895,17.9
1896,18.4
1897,21.5
1898,19.9
1899,19.7
1900,21.2
1901,28.6
1902,18.1
1903,17.1
1904,17.7
1905,19.0
1906,23.8
1907,15.6
1908,21.8
1909,20.3
1910,14.3
1911,11.7
1912,19.2
1913,26.4
1914,15.9
1915,14.0
1916,17.2
1917,23.0
1918,15.6
1919,18.0
1920,19.0
1921,18.7
1922,18.5
1923,14.7
1924,27.7
1925,18.3
1926,18.1
1927,19.0
1928,25.2
1929,26.4
1930,22.3
1931,20.1
1932,24.8
1933,21.2
1934,20.2
1935,21.6
1936,19.3
1937,27.2
1938,24.5
1939,23.5
1940,22.0
1941,29.9
1942,20.0
1943,16.4
1944,19.0
1945,23.0
1946,21.0
1947,18.9
1948,23.1
1949,15.9
1950,25.8
1951,19.6
1952,15.8
1953,19.2
1954,18.7
1955,28.2
1956,18.3
1957,21.2
1958,17.2
1959,27.6
1960,19.5
1961,19.8
1962,17.5
1963,20.9
1964,20.5
1965,12.7
1966,19.7
1967,21.4
1968,17.7
1969,21.8
1970,18.8
1971,18.7
1972,24.3
1973,25.8
1974,18.8
1975,20.0
1976,20.1
1977,14.2
1978,20.1
1979,24.2
1980,20.4
1981,18.3
1982,20.5
1983,19.4
1984,16.4
1985,24.6
1986,18.6
1987,17.0
1988,15.5
1989,26.3
1990,26.9
1991,20.5
1992,19.8
1993,17.1
1994,15.6
1995,23.0
1996,24.9
1997,19.9
1998,17.2
1999,20.9
2000,20.2
2001,25.6
2002,22.0
2003,20.8
2004,21.1
2005,18.6
2006,22.5
2007,21.4
2008,25.7
2009,18.6
2010,19.5
2011,17.7
2012,22.3
2013,25.2
2014,
2015,17.5
2016,20.2
2017,23.1
2018,
