,08-23
1881,16.4
1882,
1883,
1884,17.7
1885,20.3
1886,20.6
1887,17.3
1888,19.1
1889,19.0
1890,17.7
1891,17.3
1892,21.3
1893,18.5
1894,20.7
1895,21.4
1896,16.0
1897,21.9
1898,19.7
1899,17.1
1900,29.1
1901,20.7
1902,15.9
1903,18.4
1904,18.0
1905,16.2
1906,16.4
1907,17.7
1908,18.3
1909,21.4
1910,17.5
1911,20.0
1912,13.8
1913,18.3
1914,17.0
1915,18.4
1916,16.6
1917,20.2
1918,16.8
1919,16.4
1920,18.5
1921,16.7
1922,21.0
1923,13.9
1924,18.3
1925,13.4
1926,17.7
1927,21.6
1928,16.4
1929,13.8
1930,20.2
1931,21.0
1932,17.6
1933,20.2
1934,23.3
1935,13.6
1936,22.0
1937,25.6
1938,25.6
1939,26.1
1940,23.7
1941,20.6
1942,23.1
1943,21.4
1944,18.5
1945,21.6
1946,19.4
1947,22.8
1948,22.5
1949,16.7
1950,16.3
1951,22.6
1952,16.8
1953,19.3
1954,22.6
1955,25.1
1956,18.0
1957,17.5
1958,18.5
1959,25.2
1960,22.2
1961,18.3
1962,19.5
1963,25.3
1964,15.4
1965,26.4
1966,14.5
1967,18.4
1968,26.9
1969,17.2
1970,18.4
1971,13.6
1972,30.3
1973,14.8
1974,18.8
1975,25.4
1976,13.8
1977,18.3
1978,23.4
1979,19.8
1980,14.1
1981,18.6
1982,19.2
1983,22.5
1984,23.0
1985,20.3
1986,17.4
1987,21.2
1988,18.1
1989,18.4
1990,16.2
1991,23.2
1992,14.5
1993,17.1
1994,19.4
1995,21.6
1996,21.1
1997,26.9
1998,17.2
1999,16.7
2000,17.3
2001,20.4
2002,19.1
2003,19.6
2004,19.7
2005,21.5
2006,24.1
2007,25.1
2008,19.5
2009,21.2
2010,19.5
2011,20.2
2012,16.4
2013,19.3
2014,
2015,26.3
2016,
2017,17.1
2018,
