,04-26
1881,11.7
1882,
1883,
1884,10.4
1885,8.1
1886,7.2
1887,16.8
1888,4.3
1889,8.3
1890,15.4
1891,6.4
1892,11.7
1893,1.7
1894,13.5
1895,14.5
1896,9.3
1897,9.7
1898,8.7
1899,9.6
1900,8.7
1901,10.9
1902,1.9
1903,
1904,12.1
1905,10.8
1906,15.7
1907,14.0
1908,13.4
1909,5.5
1910,14.9
1911,5.9
1912,4.4
1913,18.9
1914,6.9
1915,10.9
1916,17.3
1917,2.5
1918,18.1
1919,12.8
1920,12.9
1921,18.2
1922,14.4
1923,0.9
1924,-1.5
1925,16.1
1926,7.7
1927,8.8
1928,13.0
1929,5.3
1930,7.1
1931,18.7
1932,7.3
1933,11.4
1934,8.9
1935,9.6
1936,11.9
1937,17.0
1938,10.6
1939,16.0
1940,5.3
1941,5.6
1942,3.5
1943,13.1
1944,5.6
1945,7.3
1946,20.1
1947,14.7
1948,8.9
1949,17.8
1950,16.3
1951,12.2
1952,15.9
1953,18.9
1954,5.6
1955,8.4
1956,13.7
1957,12.5
1958,9.6
1959,14.2
1960,9.6
1961,18.5
1962,11.7
1963,6.0
1964,6.2
1965,11.2
1966,8.1
1967,11.1
1968,12.1
1969,11.2
1970,14.3
1971,2.7
1972,2.7
1973,8.6
1974,5.9
1975,8.7
1976,4.0
1977,14.4
1978,-1.2
1979,19.0
1980,20.3
1981,5.2
1982,12.4
1983,21.1
1984,5.6
1985,8.9
1986,23.3
1987,6.5
1988,1.9
1989,19.4
1990,18.0
1991,11.5
1992,9.6
1993,18.7
1994,20.0
1995,7.3
1996,2.3
1997,6.0
1998,19.4
1999,14.6
2000,21.9
2001,24.0
2002,19.6
2003,4.1
2004,8.4
2005,12.1
2006,17.7
2007,13.0
2008,14.6
2009,17.8
2010,11.8
2011,18.9
2012,12.1
2013,9.5
2014,
2016,17.2
2017,6.4
2018,
