,07-22
1881,22.3
1882,
1883,
1884,19.1
1885,27.5
1886,24.0
1887,18.7
1888,20.4
1889,21.8
1890,21.8
1891,26.9
1892,22.9
1893,27.5
1894,20.1
1895,24.9
1896,26.4
1897,25.3
1898,20.1
1899,23.4
1900,17.3
1901,23.7
1902,19.9
1903,15.5
1904,15.5
1905,27.0
1906,20.8
1907,17.2
1908,21.6
1909,17.5
1910,20.7
1911,18.9
1912,19.6
1913,26.1
1914,21.6
1915,25.9
1916,23.3
1917,20.3
1918,24.1
1919,24.3
1920,20.6
1921,20.4
1922,20.9
1923,20.3
1924,21.8
1925,26.9
1926,21.2
1927,26.6
1928,15.4
1929,26.6
1930,17.8
1931,22.8
1932,23.3
1933,23.2
1934,21.1
1935,21.0
1936,24.5
1937,28.1
1938,30.3
1939,26.4
1940,21.5
1941,27.4
1942,20.0
1943,25.1
1944,22.5
1945,22.3
1946,26.2
1947,24.4
1948,21.6
1949,24.0
1950,23.6
1951,16.4
1952,18.4
1953,21.7
1954,19.3
1955,17.4
1956,15.7
1957,29.7
1958,17.3
1959,23.2
1960,22.8
1961,23.4
1962,26.3
1963,17.7
1964,19.7
1965,26.0
1966,25.2
1967,23.9
1968,13.6
1969,16.1
1970,20.6
1971,19.8
1972,21.2
1973,19.6
1974,23.2
1975,23.1
1976,28.4
1977,25.8
1978,14.7
1979,17.6
1980,22.9
1981,26.5
1982,18.0
1983,18.4
1984,19.8
1985,24.2
1986,21.0
1987,26.2
1988,24.0
1989,19.5
1990,20.5
1991,20.6
1992,28.0
1993,21.6
1994,21.1
1995,24.9
1996,17.9
1997,29.0
1998,22.8
1999,26.6
2000,24.0
2001,25.8
2002,23.7
2003,27.4
2004,24.6
2005,22.8
2006,20.7
2007,21.5
2008,21.2
2009,21.1
2010,30.9
2011,30.1
2012,19.8
2013,22.7
2014,
2015,
2016,
2017,20.7
2018,26.1
