,DATE,TMAX
314,1881-11-11,3.1
679,1882-11-11,
1044,1883-11-11,4.5
1410,1884-11-11,6.7
1775,1885-11-11,1.4
2140,1886-11-11,7.0
2505,1887-11-11,-1.0
2871,1888-11-11,-0.5
3236,1889-11-11,1.5
3601,1890-11-11,0.6
3966,1891-11-11,1.2
4332,1892-11-11,4.8
4697,1893-11-11,4.1
5062,1894-11-11,1.3
5427,1895-11-11,-0.1
5793,1896-11-11,-0.2
6158,1897-11-11,3.3
6523,1898-11-11,4.6
6888,1899-11-11,5.9
7253,1900-11-11,2.3
7618,1901-11-11,-2.5
7983,1902-11-11,3.6
8348,1903-11-11,
8714,1904-11-11,-1.7
9079,1905-11-11,0.6
9444,1906-11-11,4.5
9809,1907-11-11,0.9
10175,1908-11-11,-6.1
10540,1909-11-11,5.6
10905,1910-11-11,1.8
11270,1911-11-11,5.1
11636,1912-11-11,-0.6
12001,1913-11-11,4.4
12366,1914-11-11,6.0
12731,1915-11-11,3.4
13097,1916-11-11,8.6
13462,1917-11-11,4.9
13827,1918-11-11,5.0
14192,1919-11-11,-4.4
14558,1920-11-11,7.3
14923,1921-11-11,-6.6
15288,1922-11-11,1.9
15653,1923-11-11,5.1
16019,1924-11-11,1.2
16384,1925-11-11,2.5
16749,1926-11-11,5.4
17114,1927-11-11,-2.4
17480,1928-11-11,2.4
17845,1929-11-11,4.3
18210,1930-11-11,2.8
18575,1931-11-11,5.5
18941,1932-11-11,6.0
19306,1933-11-11,6.8
19671,1934-11-11,6.7
20036,1935-11-11,7.7
20402,1936-11-11,6.9
20767,1937-11-11,7.4
21132,1938-11-11,2.3
21497,1939-11-11,7.6
21863,1940-11-11,-1.6
22228,1941-11-11,-4.4
22593,1942-11-11,-1.8
22958,1943-11-11,1.1
23324,1944-11-11,2.3
23689,1945-11-11,-4.9
24054,1946-11-11,0.6
24419,1947-11-11,0.3
24785,1948-11-11,-0.7
25150,1949-11-11,3.2
25515,1950-11-11,1.1
25880,1951-11-11,-7.1
26246,1952-11-11,3.0
26611,1953-11-11,6.4
26976,1954-11-11,6.0
27341,1955-11-11,7.5
27707,1956-11-11,-4.8
28072,1957-11-11,2.0
28437,1958-11-11,4.2
28802,1959-11-11,3.2
29168,1960-11-11,2.8
29533,1961-11-11,0.4
29898,1962-11-11,-1.5
30263,1963-11-11,5.2
30629,1964-11-11,5.4
30994,1965-11-11,-0.5
31359,1966-11-11,5.3
31724,1967-11-11,6.6
32090,1968-11-11,-1.0
32455,1969-11-11,5.6
32820,1970-11-11,0.8
33185,1971-11-11,2.5
33551,1972-11-11,7.9
33916,1973-11-11,2.3
34281,1974-11-11,4.2
34646,1975-11-11,4.9
35012,1976-11-11,3.2
35377,1977-11-11,6.0
35742,1978-11-11,8.0
36107,1979-11-11,3.6
36473,1980-11-11,-2.7
36838,1981-11-11,3.0
37203,1982-11-11,10.1
37568,1983-11-11,1.5
37934,1984-11-11,0.1
38299,1985-11-11,7.6
38664,1986-11-11,9.8
39029,1987-11-11,0.0
39395,1988-11-11,-2.8
39760,1989-11-11,6.8
40125,1990-11-11,4.6
40490,1991-11-11,4.1
40856,1992-11-11,-1.0
41221,1993-11-11,-3.8
41586,1994-11-11,-3.8
41951,1995-11-11,1.1
42317,1996-11-11,4.3
42682,1997-11-11,1.6
43047,1998-11-11,-8.9
43412,1999-11-11,5.1
43778,2000-11-11,3.4
44143,2001-11-11,5.7
44508,2002-11-11,-3.1
44873,2003-11-11,4.7
45239,2004-11-11,5.9
45604,2005-11-11,6.8
45969,2006-11-11,0.2
46334,2007-11-11,2.1
46700,2008-11-11,10.8
47065,2009-11-11,1.6
47430,2010-11-11,5.9
47795,2011-11-11,5.0
48161,2012-11-11,3.1
48526,2013-11-11,6.2
48891,2014-11-11,
49235,2015-11-11,
49601,2016-11-11,
49966,2017-11-11,6.5
50330,2018-11-11,4.2
