,DATE,TMAX
63,1881-03-05,-6.5
428,1882-03-05,
793,1883-03-05,
1159,1884-03-05,-10.0
1524,1885-03-05,-3.4
1889,1886-03-05,-6.3
2254,1887-03-05,0.7
2620,1888-03-05,-13.1
2985,1889-03-05,-6.7
3350,1890-03-05,0.1
3715,1891-03-05,-0.4
4081,1892-03-05,-8.9
4446,1893-03-05,-2.5
4811,1894-03-05,-4.5
5176,1895-03-05,1.6
5542,1896-03-05,3.3
5907,1897-03-05,-4.3
6272,1898-03-05,-5.1
6637,1899-03-05,-9.9
7002,1900-03-05,-5.1
7367,1901-03-05,-0.8
7732,1902-03-05,-7.2
8097,1903-03-05,
8463,1904-03-05,-4.2
8828,1905-03-05,0.0
9193,1906-03-05,4.0
9558,1907-03-05,3.3
9924,1908-03-05,2.8
10289,1909-03-05,0.6
10654,1910-03-05,2.0
11019,1911-03-05,1.9
11385,1912-03-05,2.8
11750,1913-03-05,3.7
12115,1914-03-05,1.8
12480,1915-03-05,-11.0
12846,1916-03-05,-2.0
13211,1917-03-05,-8.2
13576,1918-03-05,2.9
13941,1919-03-05,2.1
14307,1920-03-05,0.5
14672,1921-03-05,2.3
15037,1922-03-05,1.4
15402,1923-03-05,-6.6
15768,1924-03-05,1.2
16133,1925-03-05,-1.1
16498,1926-03-05,2.3
16863,1927-03-05,1.3
17229,1928-03-05,-4.1
17594,1929-03-05,-6.6
17959,1930-03-05,0.8
18324,1931-03-05,-9.1
18690,1932-03-05,-2.9
19055,1933-03-05,-5.2
19420,1934-03-05,0.3
19785,1935-03-05,-2.8
20151,1936-03-05,0.4
20516,1937-03-05,-0.7
20881,1938-03-05,4.7
21246,1939-03-05,1.3
21612,1940-03-05,-5.6
21977,1941-03-05,0.0
22342,1942-03-05,-16.0
22707,1943-03-05,1.0
23073,1944-03-05,2.7
23438,1945-03-05,-7.3
23803,1946-03-05,-2.2
24168,1947-03-05,-3.8
24534,1948-03-05,3.2
24899,1949-03-05,-0.7
25264,1950-03-05,1.8
25629,1951-03-05,-0.9
25995,1952-03-05,-1.8
26360,1953-03-05,-5.0
26725,1954-03-05,2.9
27090,1955-03-05,-4.1
27456,1956-03-05,0.3
27821,1957-03-05,-3.7
28186,1958-03-05,1.4
28551,1959-03-05,6.1
28917,1960-03-05,-5.7
29282,1961-03-05,4.2
29647,1962-03-05,-7.5
30012,1963-03-05,-2.1
30378,1964-03-05,-9.7
30743,1965-03-05,-5.3
31108,1966-03-05,1.6
31473,1967-03-05,4.0
31839,1968-03-05,-0.8
32204,1969-03-05,-2.6
32569,1970-03-05,6.0
32934,1971-03-05,-4.6
33300,1972-03-05,-1.2
33665,1973-03-05,-2.4
34030,1974-03-05,1.9
34395,1975-03-05,5.6
34761,1976-03-05,-4.5
35126,1977-03-05,0.3
35491,1978-03-05,2.4
35856,1979-03-05,2.7
36222,1980-03-05,-4.5
36587,1981-03-05,-4.9
36952,1982-03-05,3.0
37317,1983-03-05,1.4
37683,1984-03-05,0.6
38048,1985-03-05,-2.5
38413,1986-03-05,0.0
38778,1987-03-05,-12.4
39144,1988-03-05,0.8
39509,1989-03-05,4.2
39874,1990-03-05,3.9
40239,1991-03-05,1.1
40605,1992-03-05,0.9
40970,1993-03-05,-4.2
41335,1994-03-05,0.4
41700,1995-03-05,3.3
42066,1996-03-05,-3.2
42431,1997-03-05,5.0
42796,1998-03-05,1.8
43161,1999-03-05,2.5
43527,2000-03-05,0.0
43892,2001-03-05,2.1
44257,2002-03-05,3.0
44622,2003-03-05,-7.4
44988,2004-03-05,-1.1
45353,2005-03-05,-1.2
45718,2006-03-05,-2.8
46083,2007-03-05,1.6
46449,2008-03-05,-2.9
46814,2009-03-05,3.3
47179,2010-03-05,-4.0
47544,2011-03-05,0.2
47910,2012-03-05,-2.5
48275,2013-03-05,-3.3
48640,2014-03-05,
49005,2015-03-05,
49350,2016-03-05,2.4
49715,2017-03-05,
50080,2018-03-05,-3.8
50438,2019-03-05,-1.0
