,DATE,TMAX
332,1881-11-29,5.9
697,1882-11-29,
1062,1883-11-29,1.1
1428,1884-11-29,-11.0
1793,1885-11-29,-5.3
2158,1886-11-29,2.9
2523,1887-11-29,2.7
2889,1888-11-29,1.9
3254,1889-11-29,2.5
3619,1890-11-29,-3.0
3984,1891-11-29,-1.2
4350,1892-11-29,3.0
4715,1893-11-29,-4.5
5080,1894-11-29,2.1
5445,1895-11-29,-0.8
5811,1896-11-29,-7.0
6176,1897-11-29,1.2
6541,1898-11-29,4.7
6906,1899-11-29,0.1
7271,1900-11-29,-1.0
7636,1901-11-29,0.4
8001,1902-11-29,-8.6
8366,1903-11-29,
8732,1904-11-29,-0.8
9097,1905-11-29,3.9
9462,1906-11-29,0.5
9827,1907-11-29,3.8
10193,1908-11-29,0.0
10558,1909-11-29,-9.1
10923,1910-11-29,-6.8
11288,1911-11-29,0.4
11654,1912-11-29,1.2
12019,1913-11-29,1.9
12384,1914-11-29,2.4
12749,1915-11-29,1.1
13115,1916-11-29,4.7
13480,1917-11-29,-0.6
13845,1918-11-29,-3.2
14210,1919-11-29,1.2
14576,1920-11-29,-0.4
14941,1921-11-29,-8.0
15306,1922-11-29,-3.5
15671,1923-11-29,-2.9
16037,1924-11-29,2.4
16402,1925-11-29,-5.1
16767,1926-11-29,-1.3
17132,1927-11-29,1.5
17498,1928-11-29,4.3
17863,1929-11-29,2.7
18228,1930-11-29,4.0
18593,1931-11-29,-3.2
18959,1932-11-29,3.5
19324,1933-11-29,-2.3
19689,1934-11-29,3.0
20054,1935-11-29,1.4
20420,1936-11-29,-1.3
20785,1937-11-29,-1.6
21150,1938-11-29,3.6
21515,1939-11-29,1.8
21881,1940-11-29,-2.4
22246,1941-11-29,1.6
22611,1942-11-29,-4.6
22976,1943-11-29,1.2
23342,1944-11-29,0.3
23707,1945-11-29,1.1
24072,1946-11-29,3.6
24437,1947-11-29,-0.5
24803,1948-11-29,2.5
25168,1949-11-29,-5.2
25533,1950-11-29,3.1
25898,1951-11-29,2.5
26264,1952-11-29,-0.4
26629,1953-11-29,4.1
26994,1954-11-29,-3.8
27359,1955-11-29,-11.9
27725,1956-11-29,-0.8
28090,1957-11-29,-7.4
28455,1958-11-29,3.7
28820,1959-11-29,3.3
29186,1960-11-29,1.8
29551,1961-11-29,-0.5
29916,1962-11-29,0.3
30281,1963-11-29,-1.9
30647,1964-11-29,-7.3
31012,1965-11-29,2.1
31377,1966-11-29,1.6
31742,1967-11-29,-2.0
32108,1968-11-29,1.4
32473,1969-11-29,0.6
32838,1970-11-29,3.0
33203,1971-11-29,4.8
33569,1972-11-29,3.5
33934,1973-11-29,-4.5
34299,1974-11-29,1.6
34664,1975-11-29,-0.9
35030,1976-11-29,4.0
35395,1977-11-29,-4.4
35760,1978-11-29,0.6
36125,1979-11-29,-2.1
36491,1980-11-29,-2.5
36856,1981-11-29,1.6
37221,1982-11-29,6.6
37586,1983-11-29,-3.5
37952,1984-11-29,-0.9
38317,1985-11-29,-5.8
38682,1986-11-29,8.7
39047,1987-11-29,2.0
39413,1988-11-29,-7.3
39778,1989-11-29,-2.2
40143,1990-11-29,1.4
40508,1991-11-29,7.0
40874,1992-11-29,-13.1
41239,1993-11-29,-4.0
41604,1994-11-29,2.3
41969,1995-11-29,-2.2
42335,1996-11-29,5.0
42700,1997-11-29,-3.3
43065,1998-11-29,-2.3
43430,1999-11-29,6.7
43796,2000-11-29,1.9
44161,2001-11-29,0.2
44526,2002-11-29,-6.3
44891,2003-11-29,3.8
45257,2004-11-29,-7.1
45622,2005-11-29,4.1
45987,2006-11-29,7.3
46352,2007-11-29,-2.8
46718,2008-11-29,5.6
47083,2009-11-29,5.7
47448,2010-11-29,-10.3
47813,2011-11-29,2.9
48179,2012-11-29,-3.2
48544,2013-11-29,2.5
48909,2014-11-29,
49253,2015-11-29,1.2
49619,2016-11-29,
49984,2017-11-29,1.5
50342,2018-11-29,
