,03-22
1881,-7.1
1882,
1883,
1884,1.8
1885,-1.2
1886,-0.9
1887,3.5
1888,2.2
1889,2.6
1890,6.3
1891,-4.7
1892,3.6
1893,0.1
1894,2.6
1895,-4.2
1896,2.8
1897,-3.9
1898,0.4
1899,-3.9
1900,0.2
1901,-2.9
1902,-2.4
1903,
1904,3.5
1905,0.2
1906,-0.6
1907,0.8
1908,1.4
1909,-1.7
1910,1.5
1911,0.3
1912,3.8
1913,1.9
1914,-3.0
1915,-1.9
1916,-10.9
1917,-9.4
1918,1.1
1919,-6.9
1920,5.2
1921,3.8
1922,-6.6
1923,3.4
1924,-4.7
1925,4.1
1926,-5.3
1927,2.6
1928,5.4
1929,6.4
1930,8.3
1931,6.4
1932,-1.2
1933,0.8
1934,4.3
1935,-0.2
1936,1.1
1937,2.9
1938,6.1
1939,1.3
1940,-2.3
1941,-6.1
1942,-3.6
1943,4.2
1944,1.0
1945,2.2
1946,0.1
1947,-1.3
1948,-0.4
1949,2.6
1950,3.3
1951,-2.7
1952,-6.4
1953,6.0
1954,3.4
1955,-0.4
1956,6.9
1957,-4.6
1958,-2.4
1959,6.8
1960,4.9
1961,0.0
1962,0.5
1963,-5.5
1964,-1.4
1965,1.6
1966,3.0
1967,5.0
1968,8.6
1969,-1.4
1970,1.7
1971,2.4
1972,6.2
1973,-0.5
1974,5.2
1975,5.1
1976,-2.8
1977,2.5
1978,-3.0
1979,4.1
1980,-4.4
1981,5.4
1982,3.0
1983,2.4
1984,-5.6
1985,7.6
1986,8.5
1987,2.1
1988,3.8
1989,8.0
1990,6.7
1991,6.1
1992,10.0
1993,4.4
1994,-0.3
1995,2.3
1996,6.9
1997,-3.2
1998,2.5
1999,6.1
2000,3.1
2001,0.5
2002,4.9
2003,-0.2
2004,2.5
2005,-0.1
2006,-4.3
2007,14.9
2008,0.8
2009,1.4
2010,1.3
2011,5.9
2012,3.1
2013,-7.8
2014,
2015,-1.8
2016,2.6
2017,
2018,1.1
2019,4.7
