,DATE,TMAX
299,1881-10-27,-2.5
664,1882-10-27,
1029,1883-10-27,7.2
1395,1884-10-27,6.5
1760,1885-10-27,5.3
2125,1886-10-27,4.7
2490,1887-10-27,5.1
2856,1888-10-27,-0.7
3221,1889-10-27,0.8
3586,1890-10-27,4.3
3951,1891-10-27,1.4
4317,1892-10-27,-1.2
4682,1893-10-27,9.1
5047,1894-10-27,4.3
5412,1895-10-27,2.5
5778,1896-10-27,7.7
6143,1897-10-27,7.2
6508,1898-10-27,6.5
6873,1899-10-27,0.5
7238,1900-10-27,4.8
7603,1901-10-27,5.2
7968,1902-10-27,4.7
8333,1903-10-27,
8699,1904-10-27,4.6
9064,1905-10-27,1.5
9429,1906-10-27,3.7
9794,1907-10-27,4.5
10160,1908-10-27,5.8
10525,1909-10-27,7.6
10890,1910-10-27,5.5
11255,1911-10-27,8.2
11621,1912-10-27,-5.0
11986,1913-10-27,3.4
12351,1914-10-27,2.4
12716,1915-10-27,0.6
13082,1916-10-27,3.0
13447,1917-10-27,5.2
13812,1918-10-27,8.7
14177,1919-10-27,2.8
14543,1920-10-27,-1.6
14908,1921-10-27,-1.1
15273,1922-10-27,-0.1
15638,1923-10-27,5.9
16004,1924-10-27,5.9
16369,1925-10-27,9.1
16734,1926-10-27,-0.1
17099,1927-10-27,-1.6
17465,1928-10-27,9.7
17830,1929-10-27,10.2
18195,1930-10-27,12.7
18560,1931-10-27,0.9
18926,1932-10-27,3.7
19291,1933-10-27,2.6
19656,1934-10-27,9.2
20021,1935-10-27,1.6
20387,1936-10-27,8.4
20752,1937-10-27,11.3
21117,1938-10-27,6.7
21482,1939-10-27,5.5
21848,1940-10-27,1.3
22213,1941-10-27,1.0
22578,1942-10-27,9.2
22943,1943-10-27,3.2
23309,1944-10-27,2.1
23674,1945-10-27,9.3
24039,1946-10-27,4.9
24404,1947-10-27,6.5
24770,1948-10-27,9.9
25135,1949-10-27,14.5
25500,1950-10-27,2.8
25865,1951-10-27,4.3
26231,1952-10-27,1.4
26596,1953-10-27,10.0
26961,1954-10-27,8.4
27326,1955-10-27,5.5
27692,1956-10-27,7.2
28057,1957-10-27,9.2
28422,1958-10-27,6.9
28787,1959-10-27,7.5
29153,1960-10-27,0.9
29518,1961-10-27,12.0
29883,1962-10-27,10.6
30248,1963-10-27,9.1
30614,1964-10-27,8.7
30979,1965-10-27,7.2
31344,1966-10-27,1.4
31709,1967-10-27,11.9
32075,1968-10-27,2.4
32440,1969-10-27,6.9
32805,1970-10-27,5.0
33170,1971-10-27,0.4
33536,1972-10-27,6.2
33901,1973-10-27,5.2
34266,1974-10-27,5.4
34631,1975-10-27,9.3
34997,1976-10-27,2.0
35362,1977-10-27,7.8
35727,1978-10-27,4.2
36092,1979-10-27,3.8
36458,1980-10-27,4.0
36823,1981-10-27,6.0
37188,1982-10-27,8.6
37553,1983-10-27,8.7
37919,1984-10-27,10.5
38284,1985-10-27,6.5
38649,1986-10-27,7.5
39014,1987-10-27,7.1
39380,1988-10-27,4.4
39745,1989-10-27,8.4
40110,1990-10-27,6.0
40475,1991-10-27,4.5
40841,1992-10-27,-0.3
41206,1993-10-27,0.3
41571,1994-10-27,9.4
41936,1995-10-27,9.0
42302,1996-10-27,7.4
42667,1997-10-27,-0.2
43032,1998-10-27,7.7
43397,1999-10-27,8.5
43763,2000-10-27,8.9
44128,2001-10-27,9.0
44493,2002-10-27,7.6
44858,2003-10-27,0.0
45224,2004-10-27,10.8
45589,2005-10-27,2.3
45954,2006-10-27,12.8
46319,2007-10-27,7.2
46685,2008-10-27,7.7
47050,2009-10-27,9.0
47415,2010-10-27,2.5
47780,2011-10-27,6.0
48146,2012-10-27,3.9
48511,2013-10-27,11.4
48876,2014-10-27,
49220,2015-10-27,7.5
49586,2016-10-27,
49951,2017-10-27,1.3
50315,2018-10-27,4.3
