,06-18
1881,20.7
1882,
1883,
1884,22.7
1885,17.0
1886,26.1
1887,21.0
1888,18.5
1889,25.9
1890,19.8
1891,25.8
1892,13.9
1893,18.0
1894,26.0
1895,19.1
1896,23.4
1897,21.9
1898,16.7
1899,25.0
1900,10.3
1901,19.0
1902,14.3
1903,22.9
1904,16.9
1905,31.3
1906,23.2
1907,21.0
1908,28.3
1909,20.7
1910,16.9
1911,11.6
1912,15.9
1913,10.4
1914,19.2
1915,12.9
1916,10.7
1917,24.4
1918,18.2
1919,21.2
1920,21.3
1921,18.9
1922,23.5
1923,22.2
1924,19.4
1925,18.6
1926,13.0
1927,16.1
1928,17.9
1929,22.0
1930,17.7
1931,17.7
1932,27.0
1933,27.4
1934,15.0
1935,29.6
1936,23.7
1937,28.4
1938,14.7
1939,27.4
1940,26.5
1941,22.2
1942,23.4
1943,18.5
1944,20.5
1945,14.4
1946,29.5
1947,25.4
1948,17.2
1949,14.1
1950,21.0
1951,22.3
1952,16.6
1953,28.5
1954,19.7
1955,14.4
1956,19.5
1957,17.7
1958,20.8
1959,18.6
1960,18.9
1961,21.9
1962,20.3
1963,18.8
1964,17.5
1965,26.8
1966,24.2
1967,20.2
1968,23.6
1969,24.4
1970,24.3
1971,13.2
1972,21.1
1973,9.8
1974,25.2
1975,19.5
1976,15.0
1977,21.3
1978,11.3
1979,16.7
1980,26.7
1981,16.9
1982,10.0
1983,20.8
1984,22.6
1985,19.8
1986,26.1
1987,18.0
1988,16.5
1989,19.8
1990,19.9
1991,19.9
1992,19.7
1993,19.6
1994,14.9
1995,21.9
1996,19.3
1997,13.0
1998,21.8
1999,26.5
2000,14.4
2001,22.0
2002,22.2
2003,17.1
2004,17.1
2005,23.9
2006,27.1
2007,18.5
2008,21.7
2009,15.1
2010,20.3
2011,21.0
2012,19.3
2013,19.3
2014,
2015,
2016,
2017,
2018,27.3
