,01-28
1881,-5.4
1882,
1883,
1884,0.2
1885,-2.0
1886,-18.0
1887,-3.4
1888,-20.9
1889,-8.3
1890,-2.9
1891,-7.5
1892,-3.4
1893,-10.0
1894,3.4
1895,-12.7
1896,-6.6
1897,-5.2
1898,0.2
1899,1.4
1900,-1.8
1901,0.8
1902,-0.8
1903,
1904,1.6
1905,-3.9
1906,1.6
1907,
1908,-3.1
1909,-4.3
1910,0.6
1911,-8.4
1912,-6.0
1913,-7.0
1914,-3.8
1915,-5.8
1916,0.0
1917,-4.0
1918,2.6
1919,-8.7
1920,-10.8
1921,-9.7
1922,-5.7
1923,-3.2
1924,-11.6
1925,0.1
1926,-9.4
1927,1.9
1928,-0.1
1929,-14.5
1930,1.0
1931,-9.1
1932,3.4
1933,1.9
1934,1.2
1935,-1.1
1936,-10.1
1937,-7.0
1938,1.6
1939,-5.3
1940,-5.4
1941,-10.6
1942,-20.8
1943,-8.8
1944,1.1
1945,-10.8
1946,-10.1
1947,-1.9
1948,-0.7
1949,1.8
1950,0.3
1951,-13.0
1952,-1.6
1953,-5.2
1954,-4.5
1955,1.8
1956,-15.0
1957,0.5
1958,0.6
1959,0.8
1960,-8.7
1961,-0.7
1962,-7.9
1963,-13.9
1964,-10.1
1965,-6.5
1966,-4.9
1967,-14.8
1968,-13.6
1969,-7.1
1970,-6.9
1971,3.1
1972,-20.0
1973,0.0
1974,-10.0
1975,-1.9
1976,-5.2
1977,2.6
1978,-10.2
1979,-1.5
1980,-16.7
1981,1.7
1982,-11.9
1983,1.0
1984,-6.3
1985,-15.9
1986,2.0
1987,-20.4
1988,-12.4
1989,5.7
1990,0.3
1991,-0.9
1992,4.3
1993,-9.4
1994,1.7
1995,-0.2
1996,-7.4
1997,0.5
1998,1.2
1999,-19.4
2000,-1.9
2001,1.9
2002,-5.2
2003,0.0
2004,-2.3
2005,-6.9
2006,-0.1
2007,-7.2
2008,-1.9
2009,1.5
2010,-15.8
2011,0.1
2012,-11.6
2013,-7.1
2014,
2015,-0.8
2016,5.2
2017,
2018,1.2
2019,
