,01-29
1881,-7.1
1882,
1883,
1884,0.2
1885,-2.3
1886,-20.6
1887,2.0
1888,-22.1
1889,-12.6
1890,-7.7
1891,-6.9
1892,0.7
1893,-3.0
1894,3.2
1895,-11.2
1896,0.3
1897,-4.5
1898,-5.3
1899,-4.6
1900,-1.5
1901,1.2
1902,-1.3
1903,
1904,-0.6
1905,0.4
1906,0.5
1907,
1908,1.6
1909,-4.5
1910,-3.1
1911,-10.7
1912,-4.2
1913,-7.1
1914,2.7
1915,-6.1
1916,-1.3
1917,-6.9
1918,1.5
1919,-1.2
1920,-17.9
1921,-15.4
1922,-6.8
1923,-6.2
1924,-11.4
1925,-0.8
1926,-6.6
1927,3.2
1928,-0.7
1929,-14.3
1930,-7.8
1931,-8.3
1932,2.8
1933,-2.3
1934,1.0
1935,-6.5
1936,-7.7
1937,-9.0
1938,-0.8
1939,-1.5
1940,-10.3
1941,-12.2
1942,-10.8
1943,-6.1
1944,1.2
1945,-9.6
1946,-8.8
1947,-2.7
1948,-1.1
1949,2.7
1950,-3.5
1951,-11.1
1952,-0.3
1953,-5.4
1954,-11.6
1955,-1.6
1956,-19.4
1957,-0.8
1958,0.2
1959,1.4
1960,-16.3
1961,1.5
1962,-9.3
1963,-12.2
1964,-1.8
1965,-10.8
1966,-8.0
1967,-16.0
1968,-6.3
1969,-18.4
1970,-18.3
1971,2.0
1972,-16.6
1973,-6.6
1974,-2.5
1975,-0.6
1976,-5.9
1977,2.3
1978,-7.1
1979,-8.3
1980,-12.2
1981,1.5
1982,-9.9
1983,-0.8
1984,-6.6
1985,-3.4
1986,-1.1
1987,-23.3
1988,-12.1
1989,5.0
1990,2.3
1991,-2.0
1992,4.3
1993,-13.5
1994,-1.0
1995,0.5
1996,-3.8
1997,-6.9
1998,-7.9
1999,-15.9
2000,0.4
2001,1.4
2002,-2.6
2003,-5.6
2004,-3.0
2005,-6.9
2006,-0.2
2007,-8.0
2008,1.4
2009,0.3
2010,-9.1
2011,0.4
2012,-10.3
2013,-2.3
2014,
2015,
2016,
2017,1.0
2018,
2019,
