,04-24
1881,2.9
1882,
1883,
1884,6.7
1885,13.1
1886,10.7
1887,10.5
1888,5.7
1889,7.7
1890,11.7
1891,2.8
1892,9.3
1893,1.9
1894,13.3
1895,12.4
1896,5.7
1897,11.1
1898,9.9
1899,1.7
1900,4.1
1901,3.5
1902,5.8
1903,
1904,18.1
1905,6.3
1906,9.8
1907,8.5
1908,7.8
1909,5.2
1910,7.0
1911,10.5
1912,8.6
1913,19.1
1914,18.5
1915,9.4
1916,9.4
1917,11.3
1918,14.5
1919,11.7
1920,10.5
1921,21.6
1922,12.9
1923,0.6
1924,0.3
1925,15.4
1926,5.3
1927,6.2
1928,7.9
1929,1.3
1930,12.4
1931,14.4
1932,13.0
1933,4.9
1934,18.4
1935,8.7
1936,17.7
1937,15.5
1938,11.1
1939,9.5
1940,4.4
1941,3.7
1942,8.3
1943,14.0
1944,6.2
1945,6.9
1946,13.7
1947,18.4
1948,2.8
1949,10.6
1950,17.1
1951,11.2
1952,13.6
1953,17.6
1954,6.0
1955,4.4
1956,8.9
1957,10.9
1958,4.6
1959,6.2
1960,10.8
1961,15.0
1962,13.8
1963,3.9
1964,8.4
1965,14.2
1966,5.8
1967,8.5
1968,7.4
1969,10.7
1970,5.9
1971,2.8
1972,0.9
1973,6.1
1974,4.1
1975,13.5
1976,7.4
1977,15.6
1978,2.3
1979,10.7
1980,19.5
1981,1.6
1982,13.6
1983,17.9
1984,10.7
1985,4.2
1986,21.3
1987,5.6
1988,0.8
1989,10.1
1990,17.3
1991,7.2
1992,2.3
1993,15.5
1994,17.7
1995,20.6
1996,8.0
1997,7.2
1998,13.4
1999,13.2
2000,25.3
2001,23.7
2002,12.8
2003,5.1
2004,9.2
2005,6.8
2006,13.6
2007,6.9
2008,9.5
2009,11.7
2010,5.9
2011,16.0
2012,11.8
2013,9.5
2014,
2016,
2017,5.8
2018,9.0
