,DATE,TMAX
243,1881-09-01,18.9
608,1882-09-01,
973,1883-09-01,18.4
1339,1884-09-01,13.8
1704,1885-09-01,13.1
2069,1886-09-01,16.4
2434,1887-09-01,22.8
2800,1888-09-01,19.1
3165,1889-09-01,17.6
3530,1890-09-01,17.0
3895,1891-09-01,18.4
4261,1892-09-01,13.1
4626,1893-09-01,14.1
4991,1894-09-01,17.2
5356,1895-09-01,13.5
5722,1896-09-01,18.5
6087,1897-09-01,18.7
6452,1898-09-01,18.1
6817,1899-09-01,13.5
7182,1900-09-01,17.6
7547,1901-09-01,11.4
7912,1902-09-01,10.4
8277,1903-09-01,15.6
8643,1904-09-01,15.0
9008,1905-09-01,14.2
9373,1906-09-01,10.5
9738,1907-09-01,18.4
10104,1908-09-01,17.0
10469,1909-09-01,21.5
10834,1910-09-01,14.7
11199,1911-09-01,15.4
11565,1912-09-01,25.1
11930,1913-09-01,25.3
12295,1914-09-01,10.3
12660,1915-09-01,17.7
13026,1916-09-01,13.3
13391,1917-09-01,21.0
13756,1918-09-01,15.1
14121,1919-09-01,15.5
14487,1920-09-01,16.9
14852,1921-09-01,15.0
15217,1922-09-01,15.4
15582,1923-09-01,15.9
15948,1924-09-01,17.4
16313,1925-09-01,17.8
16678,1926-09-01,19.3
17043,1927-09-01,17.3
17409,1928-09-01,14.6
17774,1929-09-01,15.8
18139,1930-09-01,23.0
18504,1931-09-01,17.5
18870,1932-09-01,17.7
19235,1933-09-01,17.7
19600,1934-09-01,17.7
19965,1935-09-01,22.3
20331,1936-09-01,18.1
20696,1937-09-01,18.2
21061,1938-09-01,28.3
21426,1939-09-01,18.2
21792,1940-09-01,15.4
22157,1941-09-01,11.8
22522,1942-09-01,17.2
22887,1943-09-01,18.4
23253,1944-09-01,18.1
23618,1945-09-01,18.4
23983,1946-09-01,18.0
24348,1947-09-01,15.8
24714,1948-09-01,16.1
25079,1949-09-01,21.0
25444,1950-09-01,18.7
25809,1951-09-01,26.2
26175,1952-09-01,17.9
26540,1953-09-01,17.5
26905,1954-09-01,17.5
27270,1955-09-01,25.5
27636,1956-09-01,14.5
28001,1957-09-01,19.4
28366,1958-09-01,22.4
28731,1959-09-01,13.5
29097,1960-09-01,16.3
29462,1961-09-01,18.9
29827,1962-09-01,14.6
30192,1963-09-01,27.6
30558,1964-09-01,14.1
30923,1965-09-01,22.0
31288,1966-09-01,20.2
31653,1967-09-01,21.0
32019,1968-09-01,22.0
32384,1969-09-01,19.3
32749,1970-09-01,21.2
33114,1971-09-01,17.7
33480,1972-09-01,14.5
33845,1973-09-01,16.2
34210,1974-09-01,19.5
34575,1975-09-01,19.7
34941,1976-09-01,23.6
35306,1977-09-01,21.7
35671,1978-09-01,15.9
36036,1979-09-01,16.0
36402,1980-09-01,15.3
36767,1981-09-01,14.6
37132,1982-09-01,19.8
37497,1983-09-01,16.7
37863,1984-09-01,17.1
38228,1985-09-01,21.1
38593,1986-09-01,12.5
38958,1987-09-01,10.0
39324,1988-09-01,15.5
39689,1989-09-01,14.3
40054,1990-09-01,13.2
40419,1991-09-01,19.8
40785,1992-09-01,30.4
41150,1993-09-01,14.4
41515,1994-09-01,16.2
41880,1995-09-01,21.9
42246,1996-09-01,27.5
42611,1997-09-01,17.6
42976,1998-09-01,13.6
43341,1999-09-01,18.8
43707,2000-09-01,16.6
44072,2001-09-01,16.3
44437,2002-09-01,22.0
44802,2003-09-01,12.4
45168,2004-09-01,26.2
45533,2005-09-01,17.2
45898,2006-09-01,17.7
46263,2007-09-01,13.2
46629,2008-09-01,13.8
46994,2009-09-01,19.4
47359,2010-09-01,18.3
47724,2011-09-01,18.7
48090,2012-09-01,14.5
48455,2013-09-01,22.1
48820,2014-09-01,
49164,2015-09-01,
49530,2016-09-01,18.2
49895,2017-09-01,20.1
50260,2018-09-01,21.8
