,06-26
1881,15.6
1882,
1883,
1884,22.0
1885,28.6
1886,18.2
1887,14.8
1888,16.7
1889,16.4
1890,20.8
1891,23.8
1892,14.3
1893,23.3
1894,19.0
1895,21.0
1896,22.3
1897,15.9
1898,22.0
1899,20.3
1900,23.7
1901,28.9
1902,13.4
1903,15.1
1904,19.5
1905,24.8
1906,24.0
1907,20.8
1908,14.3
1909,24.6
1910,19.6
1911,29.2
1912,25.8
1913,20.9
1914,26.2
1915,16.8
1916,20.3
1917,25.1
1918,19.6
1919,24.5
1920,18.8
1921,17.2
1922,21.9
1923,16.4
1924,13.4
1925,25.9
1926,23.1
1927,23.9
1928,18.2
1929,14.6
1930,18.7
1931,18.5
1932,24.4
1933,12.8
1934,20.0
1935,26.6
1936,20.7
1937,25.9
1938,17.2
1939,20.1
1940,32.2
1941,20.0
1942,26.0
1943,16.4
1944,14.4
1945,16.6
1946,23.8
1947,24.5
1948,26.8
1949,19.4
1950,20.4
1951,28.9
1952,19.8
1953,24.8
1954,21.2
1955,21.8
1956,22.8
1957,16.5
1958,23.7
1959,24.6
1960,16.7
1961,16.3
1962,15.5
1963,23.6
1964,19.5
1965,19.7
1966,28.1
1967,24.1
1968,21.9
1969,20.8
1970,26.7
1971,17.7
1972,31.0
1973,26.5
1974,17.2
1975,17.0
1976,19.5
1977,16.7
1978,22.8
1979,25.2
1980,21.4
1981,26.9
1982,17.6
1983,17.0
1984,18.6
1985,16.5
1986,24.8
1987,15.0
1988,29.0
1989,23.6
1990,26.9
1991,20.5
1992,21.6
1993,19.7
1994,16.6
1995,24.5
1996,14.1
1997,18.9
1998,14.6
1999,33.4
2000,28.6
2001,18.6
2002,21.5
2003,21.3
2004,25.5
2005,17.6
2006,22.0
2007,14.5
2008,19.0
2009,26.3
2010,21.9
2011,18.1
2012,20.4
2013,32.7
2014,14.9
2015,
2016,
2017,17.1
2018,23.4
