,03-24
1881,-0.4
1882,
1883,
1884,2.5
1885,1.4
1886,-0.3
1887,3.0
1888,1.6
1889,-2.0
1890,7.0
1891,-3.2
1892,-0.8
1893,4.8
1894,3.4
1895,-4.6
1896,2.8
1897,-0.8
1898,-2.6
1899,-11.1
1900,-0.3
1901,4.9
1902,5.1
1903,
1904,5.0
1905,1.8
1906,1.0
1907,1.0
1908,2.5
1909,0.1
1910,3.3
1911,2.0
1912,2.9
1913,4.6
1914,3.1
1915,1.9
1916,-4.9
1917,-2.0
1918,2.5
1919,-4.9
1920,8.1
1921,3.3
1922,0.4
1923,5.6
1924,-4.4
1925,1.4
1926,2.4
1927,-3.7
1928,3.6
1929,-1.5
1930,6.2
1931,3.2
1932,-4.1
1933,2.2
1934,2.6
1935,4.6
1936,-1.8
1937,1.9
1938,10.6
1939,2.9
1940,-0.6
1941,-4.4
1942,2.1
1943,4.7
1944,-0.3
1945,3.4
1946,2.0
1947,-0.8
1948,0.5
1949,5.0
1950,5.4
1951,3.2
1952,-7.6
1953,2.8
1954,9.2
1955,0.2
1956,4.6
1957,-2.4
1958,-0.8
1959,3.3
1960,2.2
1961,2.8
1962,0.2
1963,-5.4
1964,3.0
1965,2.4
1966,3.0
1967,3.1
1968,5.8
1969,-1.7
1970,3.5
1971,-4.0
1972,1.5
1973,4.9
1974,3.1
1975,8.4
1976,-0.2
1977,7.1
1978,3.4
1979,3.9
1980,-0.2
1981,7.6
1982,1.5
1983,4.0
1984,-3.8
1985,8.9
1986,5.6
1987,4.4
1988,2.8
1989,6.3
1990,5.5
1991,0.7
1992,7.0
1993,4.1
1994,5.0
1995,4.7
1996,7.5
1997,-2.3
1998,5.1
1999,2.8
2000,4.2
2001,-3.5
2002,0.0
2003,7.1
2004,5.6
2005,6.4
2006,-3.1
2007,10.4
2008,-0.6
2009,1.5
2010,1.4
2011,0.6
2012,0.5
2013,0.5
2014,
2015,
2016,4.0
2017,
2018,
2019,
