,DATE,TMAX
220,1881-08-09,19.5
585,1882-08-09,
950,1883-08-09,
1316,1884-08-09,19.8
1681,1885-08-09,19.8
2046,1886-08-09,21.2
2411,1887-08-09,16.6
2777,1888-08-09,19.4
3142,1889-08-09,18.6
3507,1890-08-09,16.9
3872,1891-08-09,15.1
4238,1892-08-09,18.1
4603,1893-08-09,22.0
4968,1894-08-09,21.1
5333,1895-08-09,21.7
5699,1896-08-09,15.4
6064,1897-08-09,25.1
6429,1898-08-09,24.3
6794,1899-08-09,16.5
7159,1900-08-09,28.5
7524,1901-08-09,22.1
7889,1902-08-09,20.5
8254,1903-08-09,16.0
8620,1904-08-09,14.5
8985,1905-08-09,21.3
9350,1906-08-09,15.8
9715,1907-08-09,17.2
10081,1908-08-09,23.0
10446,1909-08-09,16.5
10811,1910-08-09,19.4
11176,1911-08-09,27.4
11542,1912-08-09,32.3
11907,1913-08-09,20.5
12272,1914-08-09,21.4
12637,1915-08-09,19.8
13003,1916-08-09,16.4
13368,1917-08-09,28.5
13733,1918-08-09,20.6
14098,1919-08-09,18.0
14464,1920-08-09,17.9
14829,1921-08-09,17.7
15194,1922-08-09,17.5
15559,1923-08-09,17.5
15925,1924-08-09,19.6
16290,1925-08-09,18.4
16655,1926-08-09,15.6
17020,1927-08-09,28.0
17386,1928-08-09,17.7
17751,1929-08-09,29.2
18116,1930-08-09,19.7
18481,1931-08-09,22.3
18847,1932-08-09,31.6
19212,1933-08-09,19.3
19577,1934-08-09,24.0
19942,1935-08-09,24.4
20308,1936-08-09,18.2
20673,1937-08-09,24.5
21038,1938-08-09,25.7
21403,1939-08-09,24.6
21769,1940-08-09,18.5
22134,1941-08-09,19.5
22499,1942-08-09,18.4
22864,1943-08-09,19.3
23230,1944-08-09,25.4
23595,1945-08-09,23.8
23960,1946-08-09,19.9
24325,1947-08-09,25.0
24691,1948-08-09,22.7
25056,1949-08-09,25.9
25421,1950-08-09,22.7
25786,1951-08-09,27.2
26152,1952-08-09,21.4
26517,1953-08-09,16.5
26882,1954-08-09,19.4
27247,1955-08-09,25.0
27613,1956-08-09,17.3
27978,1957-08-09,16.6
28343,1958-08-09,18.9
28708,1959-08-09,21.3
29074,1960-08-09,24.9
29439,1961-08-09,20.4
29804,1962-08-09,18.8
30169,1963-08-09,25.8
30535,1964-08-09,19.6
30900,1965-08-09,17.1
31265,1966-08-09,22.4
31630,1967-08-09,21.9
31996,1968-08-09,19.4
32361,1969-08-09,19.6
32726,1970-08-09,18.7
33091,1971-08-09,19.7
33457,1972-08-09,32.5
33822,1973-08-09,18.6
34187,1974-08-09,14.6
34552,1975-08-09,22.6
34918,1976-08-09,21.2
35283,1977-08-09,24.0
35648,1978-08-09,19.3
36013,1979-08-09,21.9
36379,1980-08-09,22.6
36744,1981-08-09,19.6
37109,1982-08-09,22.9
37474,1983-08-09,25.7
37840,1984-08-09,25.0
38205,1985-08-09,28.7
38570,1986-08-09,25.7
38935,1987-08-09,11.3
39301,1988-08-09,20.5
39666,1989-08-09,22.2
40031,1990-08-09,22.9
40396,1991-08-09,20.0
40762,1992-08-09,18.2
41127,1993-08-09,17.3
41492,1994-08-09,24.1
41857,1995-08-09,16.6
42223,1996-08-09,23.9
42588,1997-08-09,29.0
42953,1998-08-09,19.8
43318,1999-08-09,23.9
43684,2000-08-09,16.8
44049,2001-08-09,23.4
44414,2002-08-09,20.1
44779,2003-08-09,18.9
45145,2004-08-09,21.1
45510,2005-08-09,28.1
45875,2006-08-09,24.0
46240,2007-08-09,27.3
46606,2008-08-09,21.0
46971,2009-08-09,24.3
47336,2010-08-09,30.3
47701,2011-08-09,20.8
48067,2012-08-09,16.1
48432,2013-08-09,28.1
48797,2014-08-09,
49141,2015-08-09,
49507,2016-08-09,23.3
49872,2017-08-09,24.1
50237,2018-08-09,30.0
