,02-27
1881,-6.0
1882,
1883,
1884,-9.7
1885,-0.2
1886,-5.6
1887,1.9
1888,-8.6
1889,-3.6
1890,-4.8
1891,2.5
1892,-2.3
1893,-3.1
1894,-0.7
1895,-7.5
1896,-2.6
1897,0.7
1898,-4.9
1899,1.7
1900,-2.4
1901,-4.1
1902,-3.5
1903,
1904,-10.7
1905,0.7
1906,-1.3
1907,-1.6
1908,-2.7
1909,-0.4
1910,3.4
1911,-8.7
1912,0.7
1913,0.9
1914,1.1
1915,-5.0
1916,-2.5
1917,-5.1
1918,2.4
1919,-14.0
1920,1.3
1921,-2.0
1922,2.2
1923,-8.6
1924,-7.2
1925,-1.5
1926,-2.8
1927,-0.3
1928,-3.1
1929,-11.7
1930,-2.5
1931,-4.6
1932,-6.1
1933,-5.9
1934,-1.1
1935,2.2
1936,-5.8
1937,-6.2
1938,-0.4
1939,0.9
1940,-1.9
1941,-2.5
1942,-7.3
1943,2.8
1944,-9.3
1945,-0.1
1946,-8.3
1947,-12.2
1948,2.2
1949,0.8
1950,-6.7
1951,-0.4
1952,-5.9
1953,1.9
1954,-8.1
1955,-11.9
1956,-5.7
1957,-3.0
1958,1.3
1959,3.7
1960,-9.4
1961,2.3
1962,-6.7
1963,-6.8
1964,-2.8
1965,-15.3
1966,1.8
1967,1.9
1968,-0.4
1969,-1.0
1970,0.2
1971,-7.3
1972,-1.9
1973,-7.0
1974,0.7
1975,0.6
1976,2.2
1977,-9.9
1978,-1.2
1979,1.6
1980,-2.9
1981,-2.5
1982,-5.6
1983,-4.4
1984,-0.5
1985,-3.1
1986,-3.0
1987,-8.3
1988,-2.8
1989,10.2
1990,6.2
1991,-0.6
1992,1.0
1993,-2.6
1994,-6.5
1995,0.4
1996,1.6
1997,4.0
1998,4.6
1999,0.3
2000,-3.0
2001,-3.6
2002,1.6
2003,1.2
2004,0.7
2005,-7.7
2006,-7.1
2007,-2.8
2008,4.9
2009,2.7
2010,2.3
2011,-2.1
2012,-3.5
2013,1.4
2014,
2015,
2016,
2017,0.1
2018,-14.5
2019,3.0
