,DATE,TMAX
304,1881-11-01,-3.0
669,1882-11-01,
1034,1883-11-01,7.1
1400,1884-11-01,8.4
1765,1885-11-01,5.4
2130,1886-11-01,5.8
2495,1887-11-01,6.5
2861,1888-11-01,-4.0
3226,1889-11-01,3.7
3591,1890-11-01,4.5
3956,1891-11-01,3.5
4322,1892-11-01,9.2
4687,1893-11-01,5.3
5052,1894-11-01,2.4
5417,1895-11-01,3.3
5783,1896-11-01,4.5
6148,1897-11-01,6.9
6513,1898-11-01,9.9
6878,1899-11-01,5.5
7243,1900-11-01,5.1
7608,1901-11-01,2.0
7973,1902-11-01,7.8
8338,1903-11-01,
8704,1904-11-01,5.5
9069,1905-11-01,3.8
9434,1906-11-01,2.5
9799,1907-11-01,1.1
10165,1908-11-01,0.3
10530,1909-11-01,5.7
10895,1910-11-01,-3.2
11260,1911-11-01,4.8
11626,1912-11-01,3.9
11991,1913-11-01,8.7
12356,1914-11-01,1.4
12721,1915-11-01,0.5
13087,1916-11-01,3.3
13452,1917-11-01,6.1
13817,1918-11-01,8.2
14182,1919-11-01,-4.8
14548,1920-11-01,1.8
14913,1921-11-01,6.5
15278,1922-11-01,0.1
15643,1923-11-01,4.6
16009,1924-11-01,7.5
16374,1925-11-01,-1.3
16739,1926-11-01,1.9
17104,1927-11-01,8.4
17470,1928-11-01,8.4
17835,1929-11-01,7.3
18200,1930-11-01,7.6
18565,1931-11-01,0.9
18931,1932-11-01,0.7
19296,1933-11-01,9.7
19661,1934-11-01,10.6
20026,1935-11-01,8.4
20392,1936-11-01,6.2
20757,1937-11-01,5.8
21122,1938-11-01,7.8
21487,1939-11-01,0.7
21853,1940-11-01,1.0
22218,1941-11-01,-0.7
22583,1942-11-01,7.9
22948,1943-11-01,8.6
23314,1944-11-01,-1.5
23679,1945-11-01,6.2
24044,1946-11-01,3.9
24409,1947-11-01,3.2
24775,1948-11-01,-0.3
25140,1949-11-01,5.1
25505,1950-11-01,2.0
25870,1951-11-01,6.5
26236,1952-11-01,-1.1
26601,1953-11-01,1.6
26966,1954-11-01,8.5
27331,1955-11-01,1.2
27697,1956-11-01,2.3
28062,1957-11-01,8.9
28427,1958-11-01,8.2
28792,1959-11-01,9.0
29158,1960-11-01,-0.6
29523,1961-11-01,7.2
29888,1962-11-01,9.0
30253,1963-11-01,3.7
30619,1964-11-01,6.5
30984,1965-11-01,8.3
31349,1966-11-01,1.5
31714,1967-11-01,6.2
32080,1968-11-01,0.0
32445,1969-11-01,0.3
32810,1970-11-01,0.4
33175,1971-11-01,6.4
33541,1972-11-01,5.7
33906,1973-11-01,1.7
34271,1974-11-01,7.1
34636,1975-11-01,-0.8
35002,1976-11-01,-1.7
35367,1977-11-01,9.1
35732,1978-11-01,6.9
36097,1979-11-01,-1.7
36463,1980-11-01,-1.1
36828,1981-11-01,3.7
37193,1982-11-01,7.1
37558,1983-11-01,7.2
37924,1984-11-01,8.5
38289,1985-11-01,1.0
38654,1986-11-01,6.4
39019,1987-11-01,5.7
39385,1988-11-01,-0.3
39750,1989-11-01,8.3
40115,1990-11-01,8.0
40480,1991-11-01,4.6
40846,1992-11-01,2.2
41211,1993-11-01,4.1
41576,1994-11-01,5.0
41941,1995-11-01,-0.8
42307,1996-11-01,4.7
42672,1997-11-01,6.7
43037,1998-11-01,5.0
43402,1999-11-01,9.2
43768,2000-11-01,10.5
44133,2001-11-01,8.8
44498,2002-11-01,1.6
44863,2003-11-01,5.3
45229,2004-11-01,7.5
45594,2005-11-01,7.7
45959,2006-11-01,6.2
46324,2007-11-01,9.1
46690,2008-11-01,7.5
47055,2009-11-01,1.5
47420,2010-11-01,8.7
47785,2011-11-01,9.1
48151,2012-11-01,3.5
48516,2013-11-01,8.6
48881,2014-11-01,
49225,2015-11-01,
49591,2016-11-01,1.5
49956,2017-11-01,1.7
50320,2018-11-01,
