,DATE,TMAX
3,1881-01-04,2.2
368,1882-01-04,
733,1883-01-04,
1098,1884-01-04,-1.3
1464,1885-01-04,-2.2
1829,1886-01-04,-13.2
2194,1887-01-04,-3.6
2559,1888-01-04,-4.4
2925,1889-01-04,-2.8
3290,1890-01-04,1.6
3655,1891-01-04,-8.0
4020,1892-01-04,0.0
4386,1893-01-04,-17.1
4751,1894-01-04,-4.9
5116,1895-01-04,-5.9
5481,1896-01-04,0.0
5847,1897-01-04,-2.7
6212,1898-01-04,-2.4
6577,1899-01-04,-9.7
6942,1900-01-04,-10.7
7307,1901-01-04,-5.0
7672,1902-01-04,-9.1
8037,1903-01-04,
8402,1904-01-04,-2.0
8768,1905-01-04,2.0
9133,1906-01-04,-2.1
9498,1907-01-04,
9863,1908-01-04,-9.9
10229,1909-01-04,1.8
10594,1910-01-04,0.5
10959,1911-01-04,-6.2
11324,1912-01-04,-7.4
11690,1913-01-04,0.2
12055,1914-01-04,-8.9
12420,1915-01-04,-6.5
12785,1916-01-04,1.9
13151,1917-01-04,-12.4
13516,1918-01-04,-8.3
13881,1919-01-04,-7.5
14246,1920-01-04,0.4
14612,1921-01-04,-13.6
14977,1922-01-04,-4.4
15342,1923-01-04,0.1
15707,1924-01-04,-6.1
16073,1925-01-04,3.2
16438,1926-01-04,-4.9
16803,1927-01-04,1.5
17168,1928-01-04,-4.3
17534,1929-01-04,0.9
17899,1930-01-04,4.0
18264,1931-01-04,-7.2
18629,1932-01-04,-6.8
18995,1933-01-04,0.7
19360,1934-01-04,-3.3
19725,1935-01-04,-11.4
20090,1936-01-04,2.3
20456,1937-01-04,2.2
20821,1938-01-04,-8.6
21186,1939-01-04,-7.1
21551,1940-01-04,-7.0
21917,1941-01-04,-1.3
22282,1942-01-04,-4.7
22647,1943-01-04,0.9
23012,1944-01-04,-1.9
23378,1945-01-04,0.9
23743,1946-01-04,-1.5
24108,1947-01-04,-16.6
24473,1948-01-04,-9.1
24839,1949-01-04,5.2
25204,1950-01-04,-17.8
25569,1951-01-04,-1.6
25934,1952-01-04,1.3
26300,1953-01-04,-7.1
26665,1954-01-04,-4.0
27030,1955-01-04,-3.3
27395,1956-01-04,1.6
27761,1957-01-04,-3.8
28126,1958-01-04,-6.6
28491,1959-01-04,1.9
28856,1960-01-04,-0.5
29222,1961-01-04,0.6
29587,1962-01-04,0.3
29952,1963-01-04,-6.6
30317,1964-01-04,2.3
30683,1965-01-04,0.3
31048,1966-01-04,-8.1
31413,1967-01-04,-0.3
31778,1968-01-04,-7.9
32144,1969-01-04,-8.8
32509,1970-01-04,-3.0
32874,1971-01-04,-3.8
33239,1972-01-04,-0.6
33605,1973-01-04,0.4
33970,1974-01-04,-1.8
34335,1975-01-04,3.5
34700,1976-01-04,-8.6
35066,1977-01-04,-7.1
35431,1978-01-04,-1.2
35796,1979-01-04,-14.5
36161,1980-01-04,-1.6
36527,1981-01-04,-4.7
36892,1982-01-04,-17.2
37257,1983-01-04,-0.6
37622,1984-01-04,2.9
37988,1985-01-04,-18.1
38353,1986-01-04,-5.4
38718,1987-01-04,-17.4
39083,1988-01-04,5.7
39449,1989-01-04,1.5
39814,1990-01-04,-7.5
40179,1991-01-04,-5.4
40544,1992-01-04,4.5
40910,1993-01-04,1.2
41275,1994-01-04,-0.8
41640,1995-01-04,0.3
42005,1996-01-04,-6.2
42371,1997-01-04,-5.4
42736,1998-01-04,1.8
43101,1999-01-04,-0.4
43466,2000-01-04,2.2
43832,2001-01-04,-2.5
44197,2002-01-04,0.1
44562,2003-01-04,-18.1
44927,2004-01-04,-10.5
45293,2005-01-04,1.1
45658,2006-01-04,1.0
46023,2007-01-04,1.7
46388,2008-01-04,-9.9
46754,2009-01-04,-8.2
47119,2010-01-04,-5.3
47484,2011-01-04,-6.7
47849,2012-01-04,2.7
48215,2013-01-04,0.7
48580,2014-01-04,
48945,2015-01-04,
49289,2016-01-04,-10.0
49655,2017-01-04,-13.3
50020,2018-01-04,3.1
50378,2019-01-04,-5.4
