,02-26
1881,-8.2
1882,
1883,
1884,-11.1
1885,3.3
1886,-13.3
1887,2.5
1888,-5.7
1889,-4.1
1890,0.8
1891,-4.0
1892,-1.5
1893,-3.6
1894,0.3
1895,-5.7
1896,-3.6
1897,1.0
1898,-3.0
1899,-2.8
1900,-0.5
1901,-5.3
1902,0.0
1903,
1904,-10.2
1905,0.2
1906,-5.0
1907,-0.1
1908,-5.0
1909,-7.2
1910,2.0
1911,-4.8
1912,-11.9
1913,-4.5
1914,-2.4
1915,-1.6
1916,-1.0
1917,-3.1
1918,-2.9
1919,-14.2
1920,1.2
1921,-6.2
1922,1.4
1923,-14.4
1924,-5.4
1925,-0.7
1926,-2.4
1927,-6.7
1928,-2.2
1929,-13.8
1930,-1.4
1931,0.2
1932,-6.0
1933,-6.6
1934,-1.6
1935,3.2
1936,-5.9
1937,-7.4
1938,-1.8
1939,0.8
1940,-12.0
1941,-0.7
1942,-12.6
1943,2.3
1944,-2.8
1945,0.8
1946,-6.4
1947,-7.9
1948,1.7
1949,-1.0
1950,-2.7
1951,1.8
1952,-5.7
1953,1.2
1954,-7.9
1955,-12.0
1956,-6.2
1957,-1.5
1958,-7.5
1959,2.6
1960,-8.3
1961,4.1
1962,-4.5
1963,-10.8
1964,-3.9
1965,-13.3
1966,-4.4
1967,3.1
1968,-3.5
1969,-1.3
1970,0.2
1971,-0.7
1972,-1.3
1973,-7.0
1974,-0.5
1975,0.4
1976,3.2
1977,-6.2
1978,-2.1
1979,1.4
1980,-4.3
1981,-1.3
1982,-1.6
1983,0.4
1984,-1.8
1985,-4.1
1986,-5.9
1987,-10.6
1988,-5.6
1989,2.9
1990,3.2
1991,2.4
1992,2.0
1993,-3.0
1994,-5.6
1995,2.7
1996,1.8
1997,5.9
1998,2.8
1999,0.6
2000,-6.5
2001,-8.8
2002,1.8
2003,-1.2
2004,-0.3
2005,-6.9
2006,-2.6
2007,-2.9
2008,2.8
2009,1.0
2010,-0.3
2011,-6.4
2012,-2.7
2013,1.8
2014,
2015,
2016,
2017,
2018,
2019,
