,01-20
1881,-17.5
1882,
1883,
1884,0.6
1885,-1.5
1886,-7.2
1887,-6.9
1888,-1.8
1889,-1.6
1890,-13.6
1891,-6.9
1892,-8.8
1893,-6.7
1894,1.0
1895,0.2
1896,1.3
1897,-12.9
1898,5.9
1899,-2.3
1900,-8.9
1901,-0.8
1902,-7.4
1903,
1904,0.9
1905,-10.5
1906,0.3
1907,
1908,-0.8
1909,-0.5
1910,-1.5
1911,1.2
1912,-8.9
1913,-10.9
1914,-3.5
1915,
1916,2.3
1917,-7.9
1918,-6.7
1919,-10.4
1920,-0.1
1921,0.8
1922,-5.9
1923,-7.9
1924,-3.6
1925,1.4
1926,-10.4
1927,-14.0
1928,-10.7
1929,-6.3
1930,2.9
1931,-7.7
1932,5.2
1933,-21.2
1934,2.9
1935,2.1
1936,0.2
1937,-9.8
1938,-3.0
1939,-3.6
1940,-18.2
1941,-13.1
1942,-12.5
1943,-8.5
1944,0.7
1945,-1.7
1946,-3.2
1947,-2.4
1948,-1.5
1949,-4.2
1950,-1.6
1951,-3.1
1952,-2.6
1953,-5.6
1954,-5.8
1955,-3.2
1956,-0.6
1957,1.9
1958,1.0
1959,-9.3
1960,-2.7
1961,-7.0
1962,2.0
1963,-8.6
1964,-1.9
1965,0.9
1966,-14.4
1967,1.3
1968,-5.1
1969,-16.7
1970,-9.9
1971,1.8
1972,-7.8
1973,-13.6
1974,0.0
1975,2.7
1976,-4.7
1977,-11.7
1978,-6.4
1979,-4.0
1980,-7.4
1981,-3.3
1982,0.0
1983,-2.1
1984,0.3
1985,-17.2
1986,-12.0
1987,-5.4
1988,-1.6
1989,2.1
1990,-1.6
1991,0.2
1992,-7.0
1993,-1.7
1994,-5.5
1995,-6.8
1996,-2.5
1997,1.4
1998,2.1
1999,4.0
2000,-8.2
2001,-0.1
2002,1.2
2003,2.0
2004,-4.8
2005,0.3
2006,-18.6
2007,1.2
2008,4.6
2009,-3.7
2010,-14.4
2011,0.9
2012,-4.6
2013,-8.1
2014,
2015,-4.9
2016,-6.1
2017,
2018,
2019,
