,01-18
1881,-21.5
1882,
1883,
1884,-12.1
1885,-3.7
1886,-1.0
1887,-3.5
1888,-2.5
1889,-3.5
1890,-5.7
1891,-7.0
1892,-11.9
1893,-8.8
1894,-0.3
1895,0.8
1896,-5.2
1897,-8.9
1898,2.8
1899,-5.1
1900,-8.9
1901,-2.7
1902,-6.7
1903,
1904,-0.2
1905,-7.3
1906,1.8
1907,
1908,2.7
1909,0.6
1910,2.2
1911,1.9
1912,
1913,-8.0
1914,-3.1
1915,
1916,-9.4
1917,-3.6
1918,-13.9
1919,2.5
1920,-7.2
1921,1.1
1922,-10.8
1923,-9.9
1924,-3.9
1925,3.1
1926,-8.6
1927,-5.8
1928,-14.4
1929,-11.1
1930,-0.4
1931,0.8
1932,2.7
1933,-12.9
1934,1.3
1935,-3.8
1936,-4.8
1937,-7.1
1938,-1.2
1939,3.5
1940,-23.3
1941,-13.6
1942,-14.1
1943,-11.5
1944,1.2
1945,-0.7
1946,0.6
1947,4.3
1948,-4.5
1949,-3.8
1950,-19.3
1951,-1.8
1952,-1.5
1953,2.2
1954,-2.5
1955,1.7
1956,-1.9
1957,0.2
1958,-0.7
1959,-11.3
1960,-9.1
1961,-7.7
1962,3.3
1963,-16.4
1964,-1.2
1965,1.8
1966,-9.8
1967,-0.9
1968,-20.4
1969,-7.6
1970,-10.6
1971,1.9
1972,-16.2
1973,-9.8
1974,-4.2
1975,4.6
1976,-17.9
1977,-7.0
1978,-2.8
1979,-7.9
1980,0.6
1981,-1.4
1982,-0.8
1983,-1.8
1984,1.4
1985,-1.1
1986,-14.0
1987,-2.4
1988,-3.5
1989,1.7
1990,2.7
1991,-2.0
1992,-6.6
1993,5.2
1994,-4.0
1995,-0.6
1996,-2.9
1997,-0.6
1998,2.3
1999,3.1
2000,-1.0
2001,-0.5
2002,1.0
2003,3.8
2004,-4.3
2005,1.3
2006,-19.7
2007,5.2
2008,2.0
2009,-3.3
2010,-7.8
2011,0.2
2012,-2.3
2013,-12.4
2014,
2015,
2016,
2017,0.3
2018,
2019,
