,01-25
1881,-1.6
1882,
1883,
1884,-2.8
1885,-6.4
1886,-6.2
1887,1.8
1888,-15.3
1889,1.4
1890,-7.5
1891,-8.9
1892,-26.1
1893,-6.8
1894,-0.8
1895,-6.6
1896,-0.2
1897,-0.6
1898,-13.5
1899,-2.5
1900,-2.5
1901,1.4
1902,2.3
1903,
1904,3.1
1905,0.0
1906,-2.3
1907,
1908,0.7
1909,-0.5
1910,-12.0
1911,-1.1
1912,-0.6
1913,-10.0
1914,2.8
1915,-3.3
1916,-1.5
1917,-3.3
1918,1.5
1919,-3.9
1920,-20.9
1921,-11.6
1922,-11.7
1923,-2.1
1924,-21.6
1925,-0.5
1926,0.7
1927,-4.7
1928,2.9
1929,-12.3
1930,1.3
1931,-7.8
1932,2.0
1933,-1.9
1934,1.7
1935,-5.3
1936,0.1
1937,-13.3
1938,-3.7
1939,-0.7
1940,-3.8
1941,-18.5
1942,-26.0
1943,-17.5
1944,2.4
1945,-9.1
1946,-5.8
1947,-9.6
1948,-4.5
1949,1.9
1950,0.0
1951,-8.5
1952,-0.9
1953,-11.6
1954,-15.7
1955,2.4
1956,-12.3
1957,-0.8
1958,-3.6
1959,0.6
1960,1.9
1961,-8.5
1962,-1.7
1963,-10.0
1964,0.0
1965,-0.5
1966,-11.3
1967,-16.7
1968,-11.5
1969,-12.6
1970,-4.7
1971,3.7
1972,-0.1
1973,1.9
1974,-1.9
1975,3.1
1976,-2.5
1977,-13.0
1978,-5.0
1979,-7.7
1980,-14.7
1981,2.5
1982,-2.2
1983,1.3
1984,2.7
1985,-0.4
1986,2.5
1987,-9.6
1988,-10.0
1989,1.5
1990,3.4
1991,3.6
1992,0.0
1993,-2.1
1994,-1.3
1995,1.8
1996,-10.4
1997,-5.2
1998,-0.3
1999,-11.0
2000,-12.8
2001,-3.6
2002,4.0
2003,1.8
2004,-11.4
2005,-1.3
2006,-0.9
2007,-8.2
2008,2.5
2009,0.4
2010,-12.6
2011,-1.7
2012,-9.6
2013,-5.0
2014,
2015,
2016,
2017,-4.9
2018,4.0
2019,-9.9
