,DATE,TMAX
307,1881-11-04,1.1
672,1882-11-04,
1037,1883-11-04,5.2
1403,1884-11-04,4.2
1768,1885-11-04,0.7
2133,1886-11-04,1.5
2498,1887-11-04,8.8
2864,1888-11-04,-3.6
3229,1889-11-04,2.8
3594,1890-11-04,6.3
3959,1891-11-04,3.7
4325,1892-11-04,1.5
4690,1893-11-04,1.5
5055,1894-11-04,3.6
5420,1895-11-04,4.2
5786,1896-11-04,0.0
6151,1897-11-04,5.4
6516,1898-11-04,8.6
6881,1899-11-04,10.5
7246,1900-11-04,-0.6
7611,1901-11-04,1.4
7976,1902-11-04,4.2
8341,1903-11-04,
8707,1904-11-04,-1.1
9072,1905-11-04,3.5
9437,1906-11-04,1.1
9802,1907-11-04,-1.1
10168,1908-11-04,5.1
10533,1909-11-04,5.5
10898,1910-11-04,-2.0
11263,1911-11-04,4.5
11629,1912-11-04,-0.1
11994,1913-11-04,8.8
12359,1914-11-04,-1.6
12724,1915-11-04,1.9
13090,1916-11-04,6.0
13455,1917-11-04,6.0
13820,1918-11-04,4.9
14185,1919-11-04,-3.6
14551,1920-11-04,-0.3
14916,1921-11-04,-0.6
15281,1922-11-04,2.4
15646,1923-11-04,7.3
16012,1924-11-04,5.1
16377,1925-11-04,-2.0
16742,1926-11-04,-0.3
17107,1927-11-04,0.8
17473,1928-11-04,8.3
17838,1929-11-04,7.3
18203,1930-11-04,11.0
18568,1931-11-04,7.5
18934,1932-11-04,-1.8
19299,1933-11-04,4.8
19664,1934-11-04,3.9
20029,1935-11-04,3.7
20395,1936-11-04,6.7
20760,1937-11-04,6.8
21125,1938-11-04,8.0
21490,1939-11-04,-2.1
21856,1940-11-04,5.2
22221,1941-11-04,-1.6
22586,1942-11-04,8.0
22951,1943-11-04,4.0
23317,1944-11-04,7.9
23682,1945-11-04,1.3
24047,1946-11-04,-1.4
24412,1947-11-04,7.7
24778,1948-11-04,7.8
25143,1949-11-04,8.7
25508,1950-11-04,1.2
25873,1951-11-04,4.3
26239,1952-11-04,-1.7
26604,1953-11-04,4.3
26969,1954-11-04,3.2
27334,1955-11-04,3.0
27700,1956-11-04,0.8
28065,1957-11-04,5.6
28430,1958-11-04,7.5
28795,1959-11-04,6.2
29161,1960-11-04,5.2
29526,1961-11-04,9.5
29891,1962-11-04,9.7
30256,1963-11-04,2.4
30622,1964-11-04,7.8
30987,1965-11-04,7.1
31352,1966-11-04,4.8
31717,1967-11-04,12.3
32083,1968-11-04,9.2
32448,1969-11-04,-3.2
32813,1970-11-04,-2.0
33178,1971-11-04,7.7
33544,1972-11-04,-3.5
33909,1973-11-04,4.6
34274,1974-11-04,3.7
34639,1975-11-04,0.0
35005,1976-11-04,-5.9
35370,1977-11-04,2.6
35735,1978-11-04,7.5
36100,1979-11-04,-1.6
36466,1980-11-04,0.9
36831,1981-11-04,0.4
37196,1982-11-04,3.6
37561,1983-11-04,6.1
37927,1984-11-04,8.9
38292,1985-11-04,4.2
38657,1986-11-04,2.8
39022,1987-11-04,4.7
39388,1988-11-04,1.0
39753,1989-11-04,5.9
40118,1990-11-04,7.4
40483,1991-11-04,4.5
40849,1992-11-04,7.6
41214,1993-11-04,2.3
41579,1994-11-04,0.7
41944,1995-11-04,-1.6
42310,1996-11-04,11.3
42675,1997-11-04,-1.0
43040,1998-11-04,2.3
43405,1999-11-04,8.2
43771,2000-11-04,8.9
44136,2001-11-04,8.5
44501,2002-11-04,-1.8
44866,2003-11-04,8.6
45232,2004-11-04,6.9
45597,2005-11-04,7.3
45962,2006-11-04,-2.3
46327,2007-11-04,1.5
46693,2008-11-04,7.5
47058,2009-11-04,1.3
47423,2010-11-04,8.7
47788,2011-11-04,9.0
48154,2012-11-04,6.0
48519,2013-11-04,7.6
48884,2014-11-04,
49228,2015-11-04,
49594,2016-11-04,
49959,2017-11-04,
50323,2018-11-04,
