,02-25
1881,-3.0
1882,
1883,
1884,-9.3
1885,1.4
1886,-13.0
1887,2.3
1888,-5.8
1889,-0.1
1890,1.1
1891,1.3
1892,-0.7
1893,-7.2
1894,-4.1
1895,-2.7
1896,-9.0
1897,0.5
1898,-5.8
1899,-4.4
1900,-2.4
1901,-11.7
1902,-1.0
1903,
1904,-5.0
1905,-0.8
1906,-5.0
1907,-1.8
1908,-9.8
1909,-10.0
1910,3.0
1911,2.7
1912,-12.8
1913,-10.9
1914,-6.9
1915,-0.1
1916,-7.2
1917,-2.6
1918,-1.5
1919,-15.3
1920,-2.0
1921,-1.5
1922,0.9
1923,-13.9
1924,-4.9
1925,-4.4
1926,-3.2
1927,-7.8
1928,-2.9
1929,-11.3
1930,-1.8
1931,-6.6
1932,-7.3
1933,-6.2
1934,-6.7
1935,2.9
1936,-8.7
1937,-4.5
1938,0.8
1939,0.9
1940,1.6
1941,-0.2
1942,-10.9
1943,1.6
1944,2.4
1945,-5.2
1946,-9.0
1947,-7.9
1948,-6.9
1949,0.2
1950,-1.6
1951,2.3
1952,-3.1
1953,-8.5
1954,-8.9
1955,-10.7
1956,-8.7
1957,-1.7
1958,-13.5
1959,-0.9
1960,-10.8
1961,1.3
1962,-2.3
1963,-5.9
1964,-2.7
1965,-9.6
1966,1.3
1967,1.4
1968,-6.1
1969,-3.6
1970,1.5
1971,0.3
1972,-0.3
1973,-6.3
1974,-0.3
1975,0.1
1976,2.8
1977,-2.2
1978,-5.7
1979,-3.0
1980,-4.0
1981,-1.4
1982,-2.4
1983,1.0
1984,-3.2
1985,-8.0
1986,-12.1
1987,-9.2
1988,-6.0
1989,3.4
1990,4.9
1991,4.0
1992,1.0
1993,-0.3
1994,-3.0
1995,4.4
1996,2.3
1997,6.0
1998,-9.0
1999,0.5
2000,-4.2
2001,-11.0
2002,1.0
2003,-2.9
2004,-0.6
2005,-5.3
2006,-0.8
2007,-4.0
2008,4.4
2009,0.5
2010,-2.5
2011,-8.8
2012,-1.8
2013,1.0
2014,
2015,
2016,
2017,
2018,-7.0
2019,5.8
