,DATE,TMAX
316,1881-11-13,2.1
681,1882-11-13,
1046,1883-11-13,7.3
1412,1884-11-13,3.4
1777,1885-11-13,4.2
2142,1886-11-13,6.3
2507,1887-11-13,-3.9
2873,1888-11-13,-1.7
3238,1889-11-13,1.7
3603,1890-11-13,-1.8
3968,1891-11-13,-5.6
4334,1892-11-13,3.7
4699,1893-11-13,3.6
5064,1894-11-13,2.3
5429,1895-11-13,3.5
5795,1896-11-13,-3.9
6160,1897-11-13,1.0
6525,1898-11-13,3.4
6890,1899-11-13,3.3
7255,1900-11-13,0.0
7620,1901-11-13,-2.1
7985,1902-11-13,3.4
8350,1903-11-13,
8716,1904-11-13,-6.3
9081,1905-11-13,-1.6
9446,1906-11-13,-3.6
9811,1907-11-13,3.2
10177,1908-11-13,-7.0
10542,1909-11-13,2.9
10907,1910-11-13,-0.6
11272,1911-11-13,1.2
11638,1912-11-13,1.0
12003,1913-11-13,2.5
12368,1914-11-13,3.7
12733,1915-11-13,3.5
13099,1916-11-13,4.1
13464,1917-11-13,5.1
13829,1918-11-13,3.5
14194,1919-11-13,-6.9
14560,1920-11-13,5.3
14925,1921-11-13,-6.4
15290,1922-11-13,3.1
15655,1923-11-13,8.2
16021,1924-11-13,1.5
16386,1925-11-13,2.4
16751,1926-11-13,5.7
17116,1927-11-13,-3.9
17482,1928-11-13,6.9
17847,1929-11-13,5.6
18212,1930-11-13,4.5
18577,1931-11-13,5.3
18943,1932-11-13,2.9
19308,1933-11-13,-0.5
19673,1934-11-13,2.3
20038,1935-11-13,5.5
20404,1936-11-13,5.4
20769,1937-11-13,9.8
21134,1938-11-13,4.3
21499,1939-11-13,5.2
21865,1940-11-13,1.7
22230,1941-11-13,-3.7
22595,1942-11-13,-0.6
22960,1943-11-13,0.7
23326,1944-11-13,3.8
23691,1945-11-13,-1.2
24056,1946-11-13,3.4
24421,1947-11-13,-0.8
24787,1948-11-13,-0.6
25152,1949-11-13,2.1
25517,1950-11-13,3.8
25882,1951-11-13,-4.2
26248,1952-11-13,2.9
26613,1953-11-13,5.7
26978,1954-11-13,7.7
27343,1955-11-13,7.4
27709,1956-11-13,-6.9
28074,1957-11-13,4.2
28439,1958-11-13,5.2
28804,1959-11-13,2.3
29170,1960-11-13,-4.8
29535,1961-11-13,-7.7
29900,1962-11-13,-3.8
30265,1963-11-13,0.3
30631,1964-11-13,2.2
30996,1965-11-13,-7.0
31361,1966-11-13,0.0
31726,1967-11-13,5.8
32092,1968-11-13,-2.0
32457,1969-11-13,9.9
32822,1970-11-13,3.7
33187,1971-11-13,0.8
33553,1972-11-13,5.0
33918,1973-11-13,1.7
34283,1974-11-13,5.4
34648,1975-11-13,3.5
35014,1976-11-13,5.8
35379,1977-11-13,9.8
35744,1978-11-13,6.8
36109,1979-11-13,3.1
36475,1980-11-13,-2.1
36840,1981-11-13,0.8
37205,1982-11-13,6.7
37570,1983-11-13,-2.7
37936,1984-11-13,0.4
38301,1985-11-13,2.5
38666,1986-11-13,5.6
39031,1987-11-13,0.3
39397,1988-11-13,2.5
39762,1989-11-13,8.0
40127,1990-11-13,1.7
40492,1991-11-13,5.1
40858,1992-11-13,0.7
41223,1993-11-13,-4.3
41588,1994-11-13,-0.9
41953,1995-11-13,3.9
42319,1996-11-13,8.4
42684,1997-11-13,5.5
43049,1998-11-13,-7.5
43414,1999-11-13,6.9
43780,2000-11-13,5.4
44145,2001-11-13,2.7
44510,2002-11-13,-2.2
44875,2003-11-13,5.9
45241,2004-11-13,8.8
45606,2005-11-13,8.7
45971,2006-11-13,-0.9
46336,2007-11-13,-2.0
46702,2008-11-13,7.9
47067,2009-11-13,0.5
47432,2010-11-13,7.2
47797,2011-11-13,4.0
48163,2012-11-13,6.6
48528,2013-11-13,7.0
48893,2014-11-13,
49237,2015-11-13,4.4
49603,2016-11-13,-2.4
49968,2017-11-13,5.4
50332,2018-11-13,
