,01-24
1881,-5.3
1882,
1883,
1884,-0.3
1885,-2.8
1886,-6.7
1887,-3.5
1888,-15.3
1889,-2.8
1890,-3.8
1891,-10.0
1892,-23.6
1893,-11.4
1894,2.3
1895,-2.9
1896,-0.5
1897,-12.6
1898,-8.0
1899,-8.8
1900,-0.2
1901,1.5
1902,1.4
1903,
1904,4.5
1905,-1.2
1906,-7.8
1907,
1908,1.2
1909,0.0
1910,-12.2
1911,-1.7
1912,-2.4
1913,-12.3
1914,-1.3
1915,-4.1
1916,-1.3
1917,-4.5
1918,-5.4
1919,-6.7
1920,-14.6
1921,-8.8
1922,-9.2
1923,-4.1
1924,-15.6
1925,-0.8
1926,-11.1
1927,-4.7
1928,-13.0
1929,-7.8
1930,1.5
1931,-6.2
1932,0.6
1933,-12.2
1934,1.7
1935,1.8
1936,0.9
1937,-17.8
1938,1.1
1939,-1.1
1940,-3.6
1941,-11.8
1942,-20.8
1943,-15.6
1944,3.0
1945,-6.8
1946,-6.9
1947,-7.8
1948,-0.5
1949,1.9
1950,0.0
1951,-7.7
1952,-1.1
1953,-7.6
1954,-6.6
1955,-5.9
1956,-7.9
1957,0.7
1958,-2.9
1959,3.5
1960,1.5
1961,-5.8
1962,2.3
1963,-0.7
1964,1.7
1965,-0.1
1966,-9.2
1967,-12.4
1968,-16.8
1969,-10.1
1970,-4.1
1971,2.3
1972,-0.1
1973,-6.2
1974,-6.0
1975,2.5
1976,-1.1
1977,-10.9
1978,-10.1
1979,-13.5
1980,-10.6
1981,1.5
1982,-3.5
1983,-6.7
1984,-6.9
1985,0.3
1986,2.5
1987,-12.6
1988,-6.2
1989,-1.4
1990,1.7
1991,2.7
1992,0.4
1993,-2.0
1994,-0.4
1995,2.3
1996,-8.9
1997,0.2
1998,0.9
1999,-3.5
2000,-13.3
2001,-8.0
2002,2.7
2003,1.1
2004,-8.6
2005,0.9
2006,-2.8
2007,-7.9
2008,-0.8
2009,-0.4
2010,-17.7
2011,-6.6
2012,-6.7
2013,-5.4
2014,
2015,-0.6
2016,-5.3
2017,
2018,
2019,
