,02-21
1881,-6.0
1882,
1883,
1884,-4.7
1885,-1.4
1886,-5.8
1887,-3.1
1888,-12.2
1889,-8.9
1890,-7.9
1891,2.0
1892,2.3
1893,-16.4
1894,0.3
1895,-5.6
1896,-7.1
1897,1.9
1898,-2.5
1899,-3.0
1900,-3.3
1901,-9.6
1902,-1.1
1903,
1904,0.2
1905,3.0
1906,-5.0
1907,2.1
1908,-0.7
1909,-6.2
1910,0.5
1911,-12.6
1912,-18.1
1913,-2.0
1914,-8.5
1915,-0.4
1916,-3.3
1917,-11.3
1918,-10.1
1919,0.2
1920,-8.2
1921,-1.1
1922,-3.6
1923,-12.5
1924,-5.1
1925,-6.1
1926,-9.2
1927,-14.6
1928,-4.5
1929,-10.9
1930,-0.6
1931,-0.4
1932,-6.7
1933,-9.4
1934,-5.4
1935,3.2
1936,-7.9
1937,0.9
1938,-2.9
1939,0.5
1940,-9.0
1941,-5.4
1942,-5.9
1943,-2.9
1944,-4.7
1945,-2.7
1946,-9.5
1947,-13.2
1948,-4.7
1949,2.8
1950,1.4
1951,-0.3
1952,-4.0
1953,-5.8
1954,-8.6
1955,-9.4
1956,-7.6
1957,0.4
1958,-5.0
1959,1.6
1960,0.0
1961,2.3
1962,-4.9
1963,-8.6
1964,-2.3
1965,0.3
1966,-5.2
1967,1.4
1968,-4.5
1969,-0.7
1970,-11.3
1971,-6.5
1972,0.4
1973,1.7
1974,0.2
1975,0.0
1976,-3.1
1977,-1.7
1978,-5.4
1979,-1.8
1980,-1.5
1981,-6.1
1982,-2.6
1983,-0.8
1984,-6.2
1985,-11.4
1986,-11.5
1987,0.7
1988,-10.4
1989,0.7
1990,7.8
1991,1.8
1992,-8.8
1993,0.4
1994,-6.9
1995,2.7
1996,-10.1
1997,1.8
1998,5.6
1999,-2.4
2000,-0.8
2001,0.3
2002,-3.9
2003,-1.5
2004,4.2
2005,-4.7
2006,-1.3
2007,-12.5
2008,1.4
2009,-1.9
2010,-14.3
2011,-10.0
2012,-0.4
2013,-8.1
2014,
2015,3.0
2016,
2017,
2018,
2019,-3.8
