,06-24
1881,22.5
1882,
1883,
1884,25.8
1885,19.5
1886,19.4
1887,18.3
1888,14.1
1889,16.1
1890,23.9
1891,25.9
1892,19.9
1893,23.2
1894,22.6
1895,23.9
1896,20.8
1897,20.1
1898,20.9
1899,18.0
1900,22.7
1901,26.4
1902,14.7
1903,21.5
1904,16.2
1905,21.2
1906,21.0
1907,20.2
1908,21.7
1909,20.1
1910,14.5
1911,24.9
1912,19.4
1913,20.3
1914,30.3
1915,21.5
1916,15.6
1917,21.1
1918,21.7
1919,19.0
1920,23.5
1921,20.7
1922,19.4
1923,12.5
1924,19.8
1925,24.2
1926,19.9
1927,17.5
1928,17.4
1929,18.7
1930,23.2
1931,18.1
1932,22.5
1933,18.2
1934,18.7
1935,28.0
1936,28.5
1937,26.1
1938,15.7
1939,9.9
1940,29.6
1941,15.0
1942,23.6
1943,22.9
1944,14.0
1945,15.9
1946,22.4
1947,28.6
1948,19.2
1949,9.8
1950,21.9
1951,21.8
1952,17.4
1953,27.7
1954,20.7
1955,22.0
1956,24.9
1957,18.7
1958,20.3
1959,20.0
1960,19.7
1961,16.8
1962,18.1
1963,19.1
1964,21.0
1965,23.0
1966,22.7
1967,16.0
1968,26.4
1969,14.6
1970,22.4
1971,14.2
1972,26.7
1973,25.1
1974,20.9
1975,24.7
1976,19.6
1977,12.7
1978,21.4
1979,26.5
1980,22.9
1981,28.4
1982,17.7
1983,12.2
1984,21.0
1985,23.0
1986,14.6
1987,18.4
1988,24.6
1989,28.8
1990,24.3
1991,26.0
1992,14.0
1993,18.4
1994,22.1
1995,22.8
1996,19.3
1997,17.9
1998,13.3
1999,31.0
2000,21.4
2001,23.5
2002,19.8
2003,21.6
2004,23.3
2005,23.7
2006,21.2
2007,21.8
2008,18.4
2009,24.1
2010,19.5
2011,22.4
2012,15.7
2013,27.7
2014,
2015,
2016,
2017,17.3
2018,
