,09-18
1881,10.7
1882,
1883,21.5
1884,7.0
1885,13.0
1886,10.9
1887,16.5
1888,8.5
1889,12.3
1890,13.2
1891,9.4
1892,15.7
1893,6.7
1894,7.9
1895,12.4
1896,12.9
1897,14.3
1898,14.4
1899,14.7
1900,10.7
1901,15.6
1902,13.7
1903,16.1
1904,9.5
1905,9.2
1906,15.8
1907,12.3
1908,10.8
1909,20.8
1910,9.9
1911,11.0
1912,11.9
1913,20.0
1914,16.8
1915,11.0
1916,11.0
1917,14.0
1918,7.0
1919,12.4
1920,17.0
1921,9.2
1922,13.9
1923,15.4
1924,15.0
1925,8.9
1926,11.8
1927,13.7
1928,15.2
1929,15.0
1930,11.9
1931,14.7
1932,13.1
1933,15.7
1934,19.9
1935,17.3
1936,17.1
1937,20.0
1938,12.7
1939,15.7
1940,17.1
1941,8.2
1942,14.0
1943,15.7
1944,17.5
1945,13.4
1946,16.8
1947,19.2
1948,14.1
1949,15.3
1950,21.1
1951,16.0
1952,14.1
1953,15.3
1954,15.9
1955,16.8
1956,13.9
1957,12.0
1958,12.9
1959,10.8
1960,17.0
1961,17.3
1962,15.3
1963,20.2
1964,15.7
1965,15.9
1966,12.2
1967,16.4
1968,8.6
1969,6.8
1970,17.8
1971,11.4
1972,14.4
1973,11.2
1974,18.1
1975,17.0
1976,12.8
1977,8.6
1978,10.9
1979,10.6
1980,17.9
1981,8.6
1982,13.8
1983,16.6
1984,14.2
1985,14.2
1986,11.0
1987,12.5
1988,11.8
1989,14.9
1990,11.8
1991,12.8
1992,17.5
1993,10.2
1994,15.8
1995,14.9
1996,14.1
1997,15.0
1998,14.6
1999,13.9
2000,14.9
2001,22.7
2002,12.2
2003,14.6
2004,13.9
2005,13.8
2006,15.9
2007,18.1
2008,9.6
2009,13.9
2010,14.6
2011,15.9
2012,19.2
2013,19.2
2014,
2015,
2016,11.3
2017,14.0
2018,16.5
