,02-17
1881,-1.2
1882,
1883,
1884,-2.7
1885,1.5
1886,-7.1
1887,-0.8
1888,-12.6
1889,-3.9
1890,-6.0
1891,1.0
1892,-19.4
1893,-12.0
1894,-11.5
1895,-16.6
1896,0.9
1897,-9.6
1898,-6.9
1899,-1.3
1900,-17.5
1901,-8.8
1902,0.5
1903,
1904,-0.1
1905,2.0
1906,-1.2
1907,-1.5
1908,2.5
1909,-8.8
1910,-2.2
1911,2.5
1912,-1.0
1913,-0.3
1914,3.5
1915,-6.9
1916,1.2
1917,-13.0
1918,-2.5
1919,-12.7
1920,-2.7
1921,-13.1
1922,-9.4
1923,-11.5
1924,-9.2
1925,5.2
1926,1.6
1927,-5.9
1928,-8.6
1929,-10.1
1930,-0.1
1931,-3.0
1932,-1.5
1933,-8.4
1934,3.4
1935,-2.4
1936,-14.0
1937,-5.5
1938,-1.4
1939,3.7
1940,-11.5
1941,-6.5
1942,-8.6
1943,-4.6
1944,-6.2
1945,-3.7
1946,0.0
1947,-8.2
1948,-7.5
1949,3.9
1950,-10.9
1951,-7.6
1952,1.2
1953,-4.3
1954,-14.3
1955,-8.5
1956,-9.3
1957,3.0
1958,-0.8
1959,0.4
1960,-0.3
1961,1.6
1962,-4.9
1963,-2.5
1964,-8.0
1965,-1.4
1966,-3.1
1967,-3.2
1968,-7.5
1969,-2.8
1970,-9.8
1971,-6.2
1972,1.7
1973,2.8
1974,2.5
1975,-8.6
1976,0.5
1977,-3.0
1978,-11.0
1979,-6.1
1980,0.8
1981,-6.0
1982,-0.6
1983,-4.4
1984,-2.6
1985,-11.2
1986,-4.8
1987,-1.0
1988,0.0
1989,1.5
1990,-0.3
1991,-4.9
1992,-4.9
1993,0.5
1994,-3.9
1995,4.6
1996,-3.8
1997,-7.6
1998,-5.3
1999,0.1
2000,2.4
2001,3.1
2002,3.8
2003,2.5
2004,-5.3
2005,-2.4
2006,-8.8
2007,1.2
2008,0.4
2009,-3.3
2010,-8.2
2011,-19.1
2012,-5.6
2013,-3.7
2014,
2015,
2016,0.8
2017,1.1
2018,-2.6
2019,4.3
