,05-10
1881,2.6
1882,
1883,
1884,6.2
1885,9.7
1886,14.2
1887,10.8
1888,6.6
1889,20.5
1890,5.1
1891,11.0
1892,14.7
1893,14.0
1894,12.7
1895,22.7
1896,6.0
1897,22.4
1898,20.4
1899,18.6
1900,2.8
1901,17.8
1902,7.6
1903,7.4
1904,11.1
1905,13.1
1906,26.6
1907,12.1
1908,7.8
1909,9.0
1910,20.1
1911,19.4
1912,8.3
1913,16.3
1914,12.6
1915,9.2
1916,19.8
1917,7.5
1918,2.5
1919,11.7
1920,17.0
1921,24.5
1922,8.9
1923,12.4
1924,11.5
1925,22.6
1926,11.7
1927,6.6
1928,17.6
1929,22.8
1930,19.6
1931,7.8
1932,22.2
1933,8.7
1934,18.8
1935,8.6
1936,16.7
1937,12.6
1938,13.9
1939,8.0
1940,22.0
1941,6.8
1942,9.9
1943,27.2
1944,10.4
1945,10.1
1946,7.3
1947,14.5
1948,17.5
1949,11.7
1950,12.7
1951,9.6
1952,12.4
1953,11.0
1954,17.3
1955,10.8
1956,16.2
1957,22.9
1958,14.9
1959,13.0
1960,15.4
1961,17.2
1962,10.4
1963,20.3
1964,13.7
1965,14.5
1966,14.7
1967,10.2
1968,14.1
1969,23.5
1970,19.0
1971,16.4
1972,6.0
1973,14.9
1974,6.1
1975,25.4
1976,15.0
1977,15.0
1978,3.7
1979,14.7
1980,10.9
1981,25.7
1982,16.7
1983,17.6
1984,8.1
1985,18.4
1986,16.5
1987,10.7
1988,12.6
1989,16.1
1990,16.8
1991,10.6
1992,10.7
1993,22.4
1994,23.0
1995,6.1
1996,8.6
1997,17.3
1998,18.6
1999,6.9
2000,20.3
2001,15.3
2002,14.2
2003,17.7
2004,17.9
2005,10.3
2006,15.4
2007,11.9
2008,17.8
2009,16.7
2010,9.5
2011,19.7
2012,22.7
2013,22.7
2014,
2015,
2016,
2017,6.2
2018,20.2
