,05-17
1881,22.1
1882,
1883,
1884,8.6
1885,15.4
1886,14.2
1887,14.1
1888,12.1
1889,6.5
1890,22.2
1891,16.4
1892,15.4
1893,5.1
1894,22.1
1895,16.9
1896,6.7
1897,22.1
1898,15.8
1899,20.5
1900,5.4
1901,19.9
1902,17.2
1903,11.0
1904,11.2
1905,14.1
1906,28.3
1907,5.8
1908,12.5
1909,8.0
1910,10.2
1911,7.6
1912,8.4
1913,15.8
1914,20.9
1915,8.2
1916,12.2
1917,7.7
1918,18.6
1919,5.5
1920,26.1
1921,17.1
1922,11.3
1923,19.5
1924,9.6
1925,12.9
1926,22.5
1927,12.9
1928,19.1
1929,21.2
1930,17.7
1931,21.8
1932,17.0
1933,10.7
1934,19.4
1935,15.1
1936,12.8
1937,18.1
1938,21.6
1939,15.9
1940,11.2
1941,9.2
1942,15.1
1943,15.7
1944,22.0
1945,18.4
1946,10.5
1947,13.6
1948,10.2
1949,26.2
1950,11.7
1951,12.6
1952,7.9
1953,22.5
1954,18.5
1955,10.7
1956,14.6
1957,22.9
1958,12.6
1959,18.6
1960,15.7
1961,10.7
1962,12.7
1963,21.2
1964,10.7
1965,11.4
1966,15.8
1967,12.3
1968,7.8
1969,9.6
1970,12.0
1971,21.5
1972,12.1
1973,13.5
1974,17.7
1975,26.9
1976,17.0
1977,26.0
1978,20.1
1979,26.7
1980,15.6
1981,15.7
1982,7.4
1983,20.7
1984,30.4
1985,12.1
1986,12.7
1987,25.6
1988,20.6
1989,15.5
1990,11.2
1991,17.5
1992,12.5
1993,18.2
1994,13.9
1995,13.9
1996,8.7
1997,9.9
1998,20.3
1999,11.3
2000,14.4
2001,20.5
2002,13.3
2003,20.8
2004,10.9
2005,15.6
2006,11.1
2007,15.9
2008,15.6
2009,13.8
2010,22.9
2011,14.1
2012,28.3
2013,20.8
2014,
2015,12.5
2016,
2017,
2018,23.0
