,01-15
1881,-13.1
1882,
1883,
1884,-12.4
1885,-5.4
1886,-4.1
1887,0.9
1888,-8.3
1889,-9.6
1890,-4.2
1891,-3.7
1892,-5.6
1893,-27.1
1894,-6.8
1895,-9.5
1896,0.1
1897,-6.6
1898,3.3
1899,0.3
1900,-7.4
1901,-1.2
1902,-18.4
1903,
1904,1.3
1905,-6.9
1906,-0.4
1907,
1908,-2.1
1909,-3.3
1910,-0.7
1911,-7.9
1912,
1913,-5.5
1914,-6.6
1915,
1916,-17.3
1917,-2.3
1918,-14.4
1919,-8.2
1920,-6.4
1921,-3.8
1922,-8.0
1923,-2.2
1924,-0.7
1925,3.9
1926,-8.4
1927,-18.0
1928,1.6
1929,-13.3
1930,3.8
1931,-3.2
1932,2.2
1933,-7.6
1934,-5.2
1935,-5.3
1936,-4.4
1937,-7.4
1938,-10.6
1939,0.3
1940,-17.1
1941,-15.4
1942,-9.3
1943,-10.5
1944,-7.1
1945,0.9
1946,-4.1
1947,-7.4
1948,-8.7
1949,1.9
1950,-3.0
1951,1.8
1952,-6.4
1953,2.1
1954,-4.7
1955,-3.3
1956,0.9
1957,-4.8
1958,-1.0
1959,-6.5
1960,-19.8
1961,1.3
1962,2.5
1963,-11.5
1964,-9.3
1965,1.4
1966,-22.5
1967,-11.1
1968,-20.2
1969,-1.1
1970,-10.6
1971,1.2
1972,-19.9
1973,-3.8
1974,-6.8
1975,5.5
1976,-19.8
1977,-1.3
1978,-2.2
1979,-0.9
1980,1.6
1981,-2.6
1982,1.4
1983,0.8
1984,1.3
1985,-6.4
1986,-1.2
1987,-13.7
1988,0.7
1989,2.3
1990,-17.0
1991,-3.2
1992,-2.0
1993,1.1
1994,3.9
1995,-2.4
1996,-1.7
1997,2.1
1998,1.7
1999,-1.1
2000,0.0
2001,0.6
2002,2.0
2003,-8.4
2004,-0.8
2005,0.8
2006,1.3
2007,1.8
2008,3.1
2009,3.3
2010,-5.5
2011,-8.9
2012,-0.3
2013,-5.0
2014,
2015,2.1
2016,-11.9
2017,
2018,
2019,
