,03-17
1881,2.6
1882,
1883,
1884,2.8
1885,1.9
1886,-5.9
1887,-1.1
1888,-12.4
1889,-0.9
1890,6.3
1891,2.7
1892,-1.4
1893,3.1
1894,0.9
1895,2.1
1896,-1.1
1897,1.9
1898,-7.2
1899,-0.3
1900,1.4
1901,1.1
1902,3.2
1903,
1904,-4.0
1905,2.1
1906,-3.0
1907,-2.2
1908,0.7
1909,-0.8
1910,1.9
1911,-1.1
1912,2.1
1913,3.9
1914,2.6
1915,-7.0
1916,0.0
1917,-11.5
1918,1.6
1919,-3.4
1920,3.5
1921,7.3
1922,-3.6
1923,1.6
1924,-3.1
1925,-5.1
1926,-2.6
1927,2.2
1928,1.6
1929,3.2
1930,-2.3
1931,-5.7
1932,-3.7
1933,1.9
1934,2.5
1935,5.4
1936,0.9
1937,4.8
1938,2.8
1939,-3.1
1940,-11.1
1941,-11.6
1942,-10.8
1943,5.1
1944,1.9
1945,0.8
1946,-0.6
1947,0.8
1948,-7.5
1949,2.4
1950,-0.2
1951,-7.1
1952,-6.4
1953,3.7
1954,-3.0
1955,1.5
1956,-0.2
1957,-10.2
1958,0.3
1959,5.0
1960,-2.3
1961,2.1
1962,-1.5
1963,-3.3
1964,1.1
1965,3.9
1966,-0.2
1967,3.1
1968,-1.8
1969,2.0
1970,2.2
1971,2.7
1972,5.0
1973,1.0
1974,5.0
1975,3.8
1976,-3.0
1977,3.3
1978,-6.1
1979,-12.9
1980,-3.6
1981,-4.9
1982,5.8
1983,4.2
1984,-4.1
1985,4.5
1986,5.9
1987,2.4
1988,-2.1
1989,5.6
1990,3.4
1991,2.0
1992,5.4
1993,5.5
1994,2.0
1995,2.3
1996,1.4
1997,-1.7
1998,1.7
1999,3.3
2000,3.7
2001,-0.1
2002,8.0
2003,1.6
2004,3.3
2005,-2.9
2006,1.8
2007,3.9
2008,3.1
2009,1.8
2010,-4.9
2011,4.6
2012,2.6
2013,-5.3
2014,
2015,15.3
2016,
2017,4.5
2018,-3.7
2019,4.5
