,05-18
1881,15.2
1882,
1883,
1884,11.5
1885,11.5
1886,14.0
1887,20.0
1888,17.6
1889,9.5
1890,16.4
1891,24.0
1892,15.4
1893,4.1
1894,15.5
1895,17.9
1896,9.9
1897,23.4
1898,18.5
1899,18.5
1900,13.9
1901,12.7
1902,17.9
1903,14.2
1904,17.2
1905,17.5
1906,29.5
1907,9.2
1908,12.9
1909,14.1
1910,12.5
1911,7.3
1912,4.8
1913,21.8
1914,22.5
1915,9.7
1916,10.5
1917,7.9
1918,19.0
1919,6.2
1920,21.3
1921,18.6
1922,16.3
1923,17.2
1924,9.9
1925,13.0
1926,26.1
1927,14.5
1928,20.8
1929,13.5
1930,16.2
1931,23.0
1932,17.2
1933,11.7
1934,24.9
1935,21.2
1936,18.0
1937,20.2
1938,18.8
1939,15.4
1940,14.0
1941,6.7
1942,23.9
1943,11.9
1944,19.7
1945,12.9
1946,11.5
1947,9.0
1948,11.7
1949,23.7
1950,18.0
1951,14.2
1952,7.3
1953,20.7
1954,17.8
1955,17.6
1956,14.1
1957,20.9
1958,14.0
1959,15.6
1960,18.9
1961,11.1
1962,10.7
1963,20.3
1964,9.2
1965,10.9
1966,22.0
1967,20.6
1968,9.9
1969,8.5
1970,13.4
1971,25.1
1972,13.7
1973,23.0
1974,14.6
1975,25.0
1976,17.6
1977,18.4
1978,24.6
1979,27.2
1980,12.7
1981,19.5
1982,10.5
1983,20.0
1984,24.5
1985,10.0
1986,12.8
1987,17.9
1988,22.0
1989,14.4
1990,9.2
1991,15.8
1992,13.2
1993,20.2
1994,11.4
1995,20.3
1996,7.4
1997,11.9
1998,21.8
1999,13.0
2000,17.9
2001,18.8
2002,8.0
2003,12.2
2004,14.6
2005,16.1
2006,15.9
2007,21.0
2008,11.8
2009,16.4
2010,25.4
2011,12.7
2012,25.3
2013,25.6
2014,
2015,
2016,17.5
2017,
2018,23.3
