,DATE,TMAX
295,1881-10-23,2.3
660,1882-10-23,
1025,1883-10-23,7.1
1391,1884-10-23,8.8
1756,1885-10-23,-1.8
2121,1886-10-23,2.1
2486,1887-10-23,2.8
2852,1888-10-23,1.1
3217,1889-10-23,1.3
3582,1890-10-23,3.7
3947,1891-10-23,3.4
4313,1892-10-23,0.4
4678,1893-10-23,6.7
5043,1894-10-23,-0.2
5408,1895-10-23,1.7
5774,1896-10-23,8.9
6139,1897-10-23,7.1
6504,1898-10-23,2.2
6869,1899-10-23,5.7
7234,1900-10-23,2.4
7599,1901-10-23,11.2
7964,1902-10-23,-2.7
8329,1903-10-23,
8695,1904-10-23,4.3
9060,1905-10-23,2.2
9425,1906-10-23,4.0
9790,1907-10-23,8.3
10156,1908-10-23,2.7
10521,1909-10-23,11.4
10886,1910-10-23,0.7
11251,1911-10-23,11.8
11617,1912-10-23,0.9
11982,1913-10-23,7.5
12347,1914-10-23,3.5
12712,1915-10-23,0.4
13078,1916-10-23,4.1
13443,1917-10-23,5.9
13808,1918-10-23,7.9
14173,1919-10-23,10.3
14539,1920-10-23,4.8
14904,1921-10-23,5.1
15269,1922-10-23,0.0
15634,1923-10-23,11.5
16000,1924-10-23,4.9
16365,1925-10-23,-0.6
16730,1926-10-23,0.5
17095,1927-10-23,4.0
17461,1928-10-23,8.5
17826,1929-10-23,9.5
18191,1930-10-23,9.0
18556,1931-10-23,3.5
18922,1932-10-23,8.4
19287,1933-10-23,3.6
19652,1934-10-23,12.4
20017,1935-10-23,7.2
20383,1936-10-23,1.5
20748,1937-10-23,9.9
21113,1938-10-23,2.8
21478,1939-10-23,5.7
21844,1940-10-23,2.5
22209,1941-10-23,2.0
22574,1942-10-23,5.9
22939,1943-10-23,12.7
23305,1944-10-23,6.6
23670,1945-10-23,1.7
24035,1946-10-23,-0.5
24400,1947-10-23,0.9
24766,1948-10-23,8.7
25131,1949-10-23,10.9
25496,1950-10-23,3.4
25861,1951-10-23,6.2
26227,1952-10-23,3.6
26592,1953-10-23,6.1
26957,1954-10-23,8.7
27322,1955-10-23,5.7
27688,1956-10-23,9.4
28053,1957-10-23,8.8
28418,1958-10-23,5.0
28783,1959-10-23,-2.0
29149,1960-10-23,2.2
29514,1961-10-23,5.7
29879,1962-10-23,10.7
30244,1963-10-23,10.5
30610,1964-10-23,10.4
30975,1965-10-23,7.4
31340,1966-10-23,12.0
31705,1967-10-23,7.9
32071,1968-10-23,7.9
32436,1969-10-23,5.1
32801,1970-10-23,5.4
33166,1971-10-23,2.9
33532,1972-10-23,3.1
33897,1973-10-23,0.4
34262,1974-10-23,6.6
34627,1975-10-23,5.9
34993,1976-10-23,-0.9
35358,1977-10-23,8.0
35723,1978-10-23,3.0
36088,1979-10-23,4.4
36454,1980-10-23,3.9
36819,1981-10-23,8.3
37184,1982-10-23,6.0
37549,1983-10-23,8.8
37915,1984-10-23,8.3
38280,1985-10-23,8.0
38645,1986-10-23,8.5
39010,1987-10-23,0.4
39376,1988-10-23,6.9
39741,1989-10-23,12.9
40106,1990-10-23,6.0
40471,1991-10-23,4.6
40837,1992-10-23,2.0
41202,1993-10-23,0.9
41567,1994-10-23,6.8
41932,1995-10-23,8.6
42298,1996-10-23,7.3
42663,1997-10-23,2.9
43028,1998-10-23,12.7
43393,1999-10-23,4.9
43759,2000-10-23,9.4
44124,2001-10-23,3.2
44489,2002-10-23,-0.5
44854,2003-10-23,1.5
45220,2004-10-23,9.3
45585,2005-10-23,12.3
45950,2006-10-23,13.8
46315,2007-10-23,6.6
46681,2008-10-23,10.2
47046,2009-10-23,5.1
47411,2010-10-23,4.8
47776,2011-10-23,9.8
48142,2012-10-23,4.4
48507,2013-10-23,7.6
48872,2014-10-23,
49216,2015-10-23,
49582,2016-10-23,6.3
49947,2017-10-23,
50311,2018-10-23,8.2
