,06-11
1881,19.5
1882,
1883,
1884,12.5
1885,11.2
1886,19.1
1887,10.9
1888,18.9
1889,19.5
1890,19.4
1891,10.6
1892,12.4
1893,17.8
1894,19.1
1895,26.3
1896,19.3
1897,16.1
1898,21.3
1899,11.6
1900,16.4
1901,26.8
1902,21.5
1903,27.0
1904,14.8
1905,14.8
1906,13.6
1907,21.0
1908,17.4
1909,16.0
1910,26.1
1911,14.0
1912,19.6
1913,14.1
1914,20.1
1915,27.2
1916,30.0
1917,21.2
1918,12.5
1919,18.6
1920,15.3
1921,25.6
1922,17.9
1923,13.7
1924,19.4
1925,14.6
1926,12.7
1927,11.9
1928,20.2
1929,16.1
1930,23.4
1931,17.9
1932,15.6
1933,26.2
1934,13.7
1935,15.2
1936,25.8
1937,28.9
1938,24.6
1939,22.4
1940,10.1
1941,23.2
1942,13.1
1943,20.7
1944,17.0
1945,18.4
1946,19.7
1947,18.4
1948,20.0
1949,19.6
1950,13.4
1951,21.6
1952,16.0
1953,15.8
1954,29.6
1955,12.3
1956,24.5
1957,28.9
1958,15.6
1959,29.8
1960,23.9
1961,27.8
1962,14.7
1963,19.4
1964,19.2
1965,25.8
1966,23.3
1967,15.3
1968,17.1
1969,24.7
1970,25.7
1971,13.3
1972,18.8
1973,20.7
1974,14.0
1975,15.0
1976,14.8
1977,26.7
1978,15.1
1979,14.0
1980,29.1
1981,18.0
1982,10.2
1983,17.0
1984,12.4
1985,14.8
1986,23.6
1987,20.4
1988,14.9
1989,20.9
1990,20.4
1991,22.0
1992,23.1
1993,13.0
1994,18.3
1995,19.8
1996,26.5
1997,24.9
1998,31.2
1999,21.7
2000,25.7
2001,18.6
2002,27.0
2003,16.3
2004,19.3
2005,22.7
2006,17.6
2007,19.5
2008,17.2
2009,21.4
2010,22.7
2011,26.7
2012,22.2
2013,16.6
2014,
2015,
2016,15.3
2017,21.3
2018,25.8
