,DATE,TMAX
311,1881-11-08,2.4
676,1882-11-08,
1041,1883-11-08,6.2
1407,1884-11-08,6.2
1772,1885-11-08,2.7
2137,1886-11-08,4.1
2502,1887-11-08,4.0
2868,1888-11-08,-0.5
3233,1889-11-08,5.1
3598,1890-11-08,7.7
3963,1891-11-08,3.4
4329,1892-11-08,3.0
4694,1893-11-08,0.0
5059,1894-11-08,-7.4
5424,1895-11-08,5.4
5790,1896-11-08,0.0
6155,1897-11-08,0.9
6520,1898-11-08,-0.8
6885,1899-11-08,9.0
7250,1900-11-08,2.7
7615,1901-11-08,1.5
7980,1902-11-08,-1.5
8345,1903-11-08,
8711,1904-11-08,2.2
9076,1905-11-08,3.0
9441,1906-11-08,1.0
9806,1907-11-08,5.3
10172,1908-11-08,-5.4
10537,1909-11-08,6.8
10902,1910-11-08,-3.0
11267,1911-11-08,6.4
11633,1912-11-08,-1.9
11998,1913-11-08,2.6
12363,1914-11-08,0.9
12728,1915-11-08,-9.1
13094,1916-11-08,5.3
13459,1917-11-08,4.4
13824,1918-11-08,9.2
14189,1919-11-08,-4.2
14555,1920-11-08,2.4
14920,1921-11-08,-2.3
15285,1922-11-08,0.6
15650,1923-11-08,4.5
16016,1924-11-08,-0.1
16381,1925-11-08,-0.4
16746,1926-11-08,6.4
17111,1927-11-08,4.6
17477,1928-11-08,4.2
17842,1929-11-08,5.5
18207,1930-11-08,6.4
18572,1931-11-08,5.4
18938,1932-11-08,4.7
19303,1933-11-08,1.2
19668,1934-11-08,7.9
20033,1935-11-08,2.9
20399,1936-11-08,6.2
20764,1937-11-08,7.0
21129,1938-11-08,4.2
21494,1939-11-08,6.5
21860,1940-11-08,1.6
22225,1941-11-08,-1.2
22590,1942-11-08,-7.0
22955,1943-11-08,3.3
23321,1944-11-08,3.7
23686,1945-11-08,-1.7
24051,1946-11-08,5.9
24416,1947-11-08,2.7
24782,1948-11-08,2.4
25147,1949-11-08,5.3
25512,1950-11-08,-1.3
25877,1951-11-08,-3.4
26243,1952-11-08,3.3
26608,1953-11-08,1.0
26973,1954-11-08,6.5
27338,1955-11-08,0.4
27704,1956-11-08,-3.6
28069,1957-11-08,7.3
28434,1958-11-08,3.1
28799,1959-11-08,4.7
29165,1960-11-08,5.4
29530,1961-11-08,4.7
29895,1962-11-08,4.8
30260,1963-11-08,9.7
30626,1964-11-08,-2.4
30991,1965-11-08,0.8
31356,1966-11-08,3.2
31721,1967-11-08,10.4
32087,1968-11-08,-0.9
32452,1969-11-08,3.5
32817,1970-11-08,-1.3
33182,1971-11-08,-0.4
33548,1972-11-08,3.7
33913,1973-11-08,2.7
34278,1974-11-08,3.4
34643,1975-11-08,4.4
35009,1976-11-08,5.0
35374,1977-11-08,9.3
35739,1978-11-08,5.4
36104,1979-11-08,3.1
36470,1980-11-08,0.9
36835,1981-11-08,2.3
37200,1982-11-08,5.9
37565,1983-11-08,8.7
37931,1984-11-08,4.2
38296,1985-11-08,5.3
38661,1986-11-08,3.8
39026,1987-11-08,-1.3
39392,1988-11-08,-1.0
39757,1989-11-08,5.2
40122,1990-11-08,2.1
40487,1991-11-08,4.6
40853,1992-11-08,2.8
41218,1993-11-08,0.4
41583,1994-11-08,-0.1
41948,1995-11-08,-0.2
42314,1996-11-08,7.4
42679,1997-11-08,5.8
43044,1998-11-08,0.1
43409,1999-11-08,-4.1
43775,2000-11-08,7.5
44140,2001-11-08,2.6
44505,2002-11-08,0.7
44870,2003-11-08,7.3
45236,2004-11-08,6.7
45601,2005-11-08,9.1
45966,2006-11-08,5.1
46331,2007-11-08,0.7
46697,2008-11-08,2.1
47062,2009-11-08,2.9
47427,2010-11-08,2.0
47792,2011-11-08,8.8
48158,2012-11-08,3.6
48523,2013-11-08,7.2
48888,2014-11-08,
49232,2015-11-08,4.6
49598,2016-11-08,-4.7
49963,2017-11-08,
50327,2018-11-08,6.6
