,05-29
1881,11.9
1882,
1883,
1884,13.4
1885,14.3
1886,18.1
1887,8.5
1888,9.6
1889,29.3
1890,15.2
1891,20.1
1892,13.4
1893,20.4
1894,8.5
1895,10.7
1896,25.9
1897,26.1
1898,13.0
1899,14.6
1900,14.4
1901,18.3
1902,22.3
1903,24.8
1904,13.3
1905,16.0
1906,15.5
1907,6.4
1908,16.4
1909,17.2
1910,6.2
1911,22.9
1912,18.5
1913,9.9
1914,11.5
1915,14.0
1916,13.0
1917,19.0
1918,13.6
1919,17.3
1920,22.2
1921,24.3
1922,12.3
1923,9.5
1924,17.3
1925,17.9
1926,15.8
1927,13.3
1928,21.3
1929,23.2
1930,17.7
1931,21.3
1932,18.8
1933,11.3
1934,13.8
1935,11.3
1936,14.8
1937,10.4
1938,23.2
1939,17.8
1940,19.2
1941,16.6
1942,25.7
1943,11.1
1944,15.6
1945,15.5
1946,14.6
1947,15.0
1948,18.5
1949,21.5
1950,13.1
1951,10.6
1952,19.6
1953,9.7
1954,16.9
1955,8.7
1956,18.7
1957,11.9
1958,25.9
1959,9.0
1960,25.9
1961,28.2
1962,13.1
1963,23.8
1964,19.1
1965,13.0
1966,18.4
1967,20.3
1968,17.3
1969,19.5
1970,16.1
1971,26.0
1972,16.4
1973,18.9
1974,16.3
1975,7.2
1976,14.0
1977,10.7
1978,19.0
1979,23.2
1980,21.1
1981,18.7
1982,23.3
1983,24.0
1984,22.5
1985,26.3
1986,15.7
1987,7.0
1988,24.9
1989,19.5
1990,11.6
1991,13.0
1992,24.0
1993,16.8
1994,13.8
1995,28.5
1996,16.5
1997,16.7
1998,20.4
1999,19.9
2000,29.0
2001,11.5
2002,18.8
2003,15.6
2004,17.0
2005,13.4
2006,15.8
2007,30.6
2008,18.7
2009,20.5
2010,15.6
2011,19.0
2012,17.3
2013,25.3
2014,
2015,20.8
2016,21.5
2017,
2018,
