,DATE,TMAX
352,1881-12-19,-1.1
717,1882-12-19,
1082,1883-12-19,-1.2
1448,1884-12-19,-7.7
1813,1885-12-19,-0.5
2178,1886-12-19,1.2
2543,1887-12-19,1.7
2909,1888-12-19,0.3
3274,1889-12-19,3.8
3639,1890-12-19,-7.7
4004,1891-12-19,-8.5
4370,1892-12-19,-0.6
4735,1893-12-19,-3.6
5100,1894-12-19,-11.7
5465,1895-12-19,-2.7
5831,1896-12-19,-4.0
6196,1897-12-19,-1.7
6561,1898-12-19,-4.3
6926,1899-12-19,-5.3
7291,1900-12-19,3.7
7656,1901-12-19,-4.8
8021,1902-12-19,-13.1
8386,1903-12-19,
8752,1904-12-19,2.7
9117,1905-12-19,-4.5
9482,1906-12-19,-5.0
9847,1907-12-19,-11.4
10213,1908-12-19,-3.7
10578,1909-12-19,0.3
10943,1910-12-19,3.1
11308,1911-12-19,1.5
11674,1912-12-19,1.4
12039,1913-12-19,-4.8
12404,1914-12-19,1.2
12769,1915-12-19,0.4
13135,1916-12-19,-3.8
13500,1917-12-19,-5.1
13865,1918-12-19,0.9
14230,1919-12-19,-10.3
14596,1920-12-19,0.0
14961,1921-12-19,-3.6
15326,1922-12-19,-7.0
15691,1923-12-19,-1.9
16057,1924-12-19,5.6
16422,1925-12-19,-6.9
16787,1926-12-19,-12.4
17152,1927-12-19,-10.4
17518,1928-12-19,-5.5
17883,1929-12-19,2.5
18248,1930-12-19,-8.3
18613,1931-12-19,-0.2
18979,1932-12-19,5.6
19344,1933-12-19,1.4
19709,1934-12-19,-2.9
20074,1935-12-19,-0.7
20440,1936-12-19,6.9
20805,1937-12-19,-5.5
21170,1938-12-19,-16.8
21535,1939-12-19,2.2
21901,1940-12-19,1.2
22266,1941-12-19,-8.7
22631,1942-12-19,-2.8
22996,1943-12-19,0.2
23362,1944-12-19,-2.4
23727,1945-12-19,-7.0
24092,1946-12-19,0.6
24457,1947-12-19,-6.1
24823,1948-12-19,0.0
25188,1949-12-19,2.3
25553,1950-12-19,1.6
25918,1951-12-19,2.4
26284,1952-12-19,0.5
26649,1953-12-19,-3.9
27014,1954-12-19,5.1
27379,1955-12-19,-20.3
27745,1956-12-19,5.6
28110,1957-12-19,1.8
28475,1958-12-19,1.2
28840,1959-12-19,-1.0
29206,1960-12-19,2.1
29571,1961-12-19,2.6
29936,1962-12-19,-10.8
30301,1963-12-19,-12.5
30667,1964-12-19,-0.7
31032,1965-12-19,-2.6
31397,1966-12-19,-5.1
31762,1967-12-19,-12.6
32128,1968-12-19,-4.4
32493,1969-12-19,-6.1
32858,1970-12-19,-5.9
33223,1971-12-19,2.8
33589,1972-12-19,0.3
33954,1973-12-19,-0.2
34319,1974-12-19,1.6
34684,1975-12-19,-6.4
35050,1976-12-19,-4.9
35415,1977-12-19,1.1
35780,1978-12-19,-4.4
36145,1979-12-19,2.7
36511,1980-12-19,-3.5
36876,1981-12-19,-10.2
37241,1982-12-19,0.4
37606,1983-12-19,0.6
37972,1984-12-19,-2.9
38337,1985-12-19,-9.2
38702,1986-12-19,-10.9
39067,1987-12-19,-3.6
39433,1988-12-19,-2.8
39798,1989-12-19,5.0
40163,1990-12-19,-3.7
40528,1991-12-19,0.6
40894,1992-12-19,1.2
41259,1993-12-19,1.5
41624,1994-12-19,-12.7
41989,1995-12-19,-9.2
42355,1996-12-19,-8.2
42720,1997-12-19,-1.8
43085,1998-12-19,4.9
43450,1999-12-19,0.4
43816,2000-12-19,-2.2
44181,2001-12-19,0.6
44546,2002-12-19,-3.5
44911,2003-12-19,4.2
45277,2004-12-19,1.5
45642,2005-12-19,-2.6
46007,2006-12-19,-2.7
46372,2007-12-19,1.9
46738,2008-12-19,0.0
47103,2009-12-19,-6.4
47468,2010-12-19,-10.6
47833,2011-12-19,3.3
48199,2012-12-19,-17.7
48564,2013-12-19,2.9
48929,2014-12-19,
49273,2015-12-19,
49639,2016-12-19,1.7
50004,2017-12-19,
50362,2018-12-19,-6.4
