,DATE,TMAX
347,1881-12-14,-6.6
712,1882-12-14,
1077,1883-12-14,0.1
1443,1884-12-14,-7.8
1808,1885-12-14,2.2
2173,1886-12-14,2.2
2538,1887-12-14,-6.6
2904,1888-12-14,2.0
3269,1889-12-14,-0.1
3634,1890-12-14,0.6
3999,1891-12-14,-0.4
4365,1892-12-14,-6.2
4730,1893-12-14,-0.4
5095,1894-12-14,-3.8
5460,1895-12-14,-0.7
5826,1896-12-14,-8.8
6191,1897-12-14,1.5
6556,1898-12-14,-4.0
6921,1899-12-14,-9.1
7286,1900-12-14,1.4
7651,1901-12-14,-9.3
8016,1902-12-14,-3.8
8381,1903-12-14,
8747,1904-12-14,0.4
9112,1905-12-14,-1.4
9477,1906-12-14,1.2
9842,1907-12-14,-13.7
10208,1908-12-14,2.2
10573,1909-12-14,-2.9
10938,1910-12-14,1.8
11303,1911-12-14,-0.8
11669,1912-12-14,-4.9
12034,1913-12-14,1.2
12399,1914-12-14,-3.1
12764,1915-12-14,-5.5
13130,1916-12-14,2.9
13495,1917-12-14,-0.9
13860,1918-12-14,-12.0
14225,1919-12-14,-4.1
14591,1920-12-14,-2.6
14956,1921-12-14,-4.3
15321,1922-12-14,3.2
15686,1923-12-14,2.4
16052,1924-12-14,1.9
16417,1925-12-14,-5.1
16782,1926-12-14,-2.6
17147,1927-12-14,-9.1
17513,1928-12-14,-4.1
17878,1929-12-14,1.6
18243,1930-12-14,-8.8
18608,1931-12-14,-1.0
18974,1932-12-14,0.6
19339,1933-12-14,-1.8
19704,1934-12-14,0.2
20069,1935-12-14,-4.0
20435,1936-12-14,1.7
20800,1937-12-14,-6.7
21165,1938-12-14,1.1
21530,1939-12-14,-4.9
21896,1940-12-14,-9.2
22261,1941-12-14,-13.6
22626,1942-12-14,2.3
22991,1943-12-14,2.3
23357,1944-12-14,-0.9
23722,1945-12-14,-5.0
24087,1946-12-14,-13.4
24452,1947-12-14,-3.3
24818,1948-12-14,-3.9
25183,1949-12-14,1.5
25548,1950-12-14,2.7
25913,1951-12-14,-4.5
26279,1952-12-14,-0.5
26644,1953-12-14,-2.8
27009,1954-12-14,1.8
27374,1955-12-14,-15.9
27740,1956-12-14,1.6
28105,1957-12-14,-6.8
28470,1958-12-14,-13.4
28835,1959-12-14,-7.3
29201,1960-12-14,1.1
29566,1961-12-14,-5.2
29931,1962-12-14,2.3
30296,1963-12-14,1.2
30662,1964-12-14,3.7
31027,1965-12-14,-0.8
31392,1966-12-14,-10.3
31757,1967-12-14,-5.1
32123,1968-12-14,1.0
32488,1969-12-14,-0.2
32853,1970-12-14,1.6
33218,1971-12-14,-7.3
33584,1972-12-14,6.5
33949,1973-12-14,-1.5
34314,1974-12-14,-0.3
34679,1975-12-14,-1.2
35045,1976-12-14,-0.2
35410,1977-12-14,-0.6
35775,1978-12-14,-12.0
36140,1979-12-14,-6.0
36506,1980-12-14,3.9
36871,1981-12-14,-3.9
37236,1982-12-14,-2.6
37601,1983-12-14,0.2
37967,1984-12-14,-2.9
38332,1985-12-14,2.1
38697,1986-12-14,0.3
39062,1987-12-14,2.0
39428,1988-12-14,-4.3
39793,1989-12-14,-3.7
40158,1990-12-14,0.6
40523,1991-12-14,3.6
40889,1992-12-14,-0.1
41254,1993-12-14,-3.3
41619,1994-12-14,-0.2
41984,1995-12-14,-1.2
42350,1996-12-14,1.6
42715,1997-12-14,-5.6
43080,1998-12-14,-13.7
43445,1999-12-14,6.7
43811,2000-12-14,6.4
44176,2001-12-14,0.7
44541,2002-12-14,-3.7
44906,2003-12-14,-2.2
45272,2004-12-14,-1.1
45637,2005-12-14,0.8
46002,2006-12-14,6.0
46367,2007-12-14,-0.3
46733,2008-12-14,1.1
47098,2009-12-14,-8.9
47463,2010-12-14,-2.9
47828,2011-12-14,3.3
48194,2012-12-14,-4.5
48559,2013-12-14,-0.7
48924,2014-12-14,3.2
49268,2015-12-14,1.5
49634,2016-12-14,
49999,2017-12-14,
50357,2018-12-14,-2.2
