,06-23
1881,29.2
1882,
1883,
1884,22.0
1885,17.2
1886,25.4
1887,18.3
1888,16.4
1889,12.0
1890,22.5
1891,27.4
1892,15.8
1893,18.2
1894,18.0
1895,22.0
1896,21.3
1897,19.9
1898,23.0
1899,15.4
1900,18.5
1901,25.2
1902,15.5
1903,17.9
1904,16.5
1905,24.0
1906,24.0
1907,20.0
1908,18.5
1909,20.5
1910,13.5
1911,21.7
1912,23.2
1913,19.9
1914,28.6
1915,22.0
1916,16.0
1917,30.7
1918,16.8
1919,27.6
1920,23.6
1921,19.6
1922,18.1
1923,14.9
1924,22.3
1925,22.1
1926,21.2
1927,17.3
1928,15.4
1929,18.6
1930,19.9
1931,17.7
1932,22.2
1933,23.3
1934,20.1
1935,27.6
1936,28.7
1937,25.4
1938,19.0
1939,16.4
1940,28.6
1941,17.0
1942,24.4
1943,21.8
1944,17.3
1945,14.8
1946,19.3
1947,28.2
1948,17.7
1949,14.8
1950,26.7
1951,21.0
1952,18.8
1953,26.4
1954,21.3
1955,22.1
1956,22.7
1957,16.3
1958,14.6
1959,17.0
1960,18.8
1961,16.7
1962,19.7
1963,20.1
1964,22.6
1965,25.6
1966,24.6
1967,18.1
1968,20.2
1969,17.1
1970,19.9
1971,19.7
1972,25.5
1973,23.2
1974,22.9
1975,20.2
1976,16.1
1977,13.8
1978,18.0
1979,23.6
1980,22.8
1981,18.6
1982,15.4
1983,14.4
1984,19.2
1985,19.9
1986,14.7
1987,15.3
1988,27.1
1989,25.1
1990,23.2
1991,24.3
1992,14.9
1993,16.4
1994,14.8
1995,23.6
1996,17.5
1997,21.4
1998,11.9
1999,29.8
2000,30.2
2001,23.4
2002,20.7
2003,18.1
2004,19.3
2005,22.4
2006,29.8
2007,20.3
2008,22.8
2009,22.8
2010,21.2
2011,22.7
2012,22.7
2013,25.9
2014,
2015,
2016,22.0
2017,16.2
2018,21.8
