,07-24
1881,19.1
1882,
1883,
1884,21.3
1885,31.3
1886,26.4
1887,19.5
1888,23.4
1889,21.3
1890,19.3
1891,29.6
1892,21.9
1893,21.4
1894,21.6
1895,21.4
1896,22.9
1897,23.9
1898,20.3
1899,21.0
1900,19.2
1901,24.7
1902,18.7
1903,17.8
1904,19.3
1905,21.3
1906,19.5
1907,19.2
1908,19.5
1909,18.8
1910,20.3
1911,21.0
1912,17.9
1913,26.5
1914,31.7
1915,25.6
1916,19.9
1917,17.5
1918,17.1
1919,25.4
1920,23.7
1921,18.1
1922,20.5
1923,18.3
1924,23.4
1925,27.5
1926,21.9
1927,23.7
1928,18.4
1929,19.3
1930,21.6
1931,22.6
1932,28.4
1933,25.3
1934,22.5
1935,22.7
1936,30.5
1937,26.3
1938,29.4
1939,22.7
1940,21.7
1941,28.0
1942,20.7
1943,16.0
1944,18.4
1945,23.7
1946,22.4
1947,22.5
1948,20.9
1949,21.7
1950,27.6
1951,18.7
1952,17.7
1953,29.7
1954,18.6
1955,16.6
1956,15.2
1957,26.2
1958,27.5
1959,28.7
1960,23.6
1961,21.0
1962,22.9
1963,24.4
1964,26.2
1965,24.4
1966,28.6
1967,24.4
1968,14.6
1969,24.3
1970,18.9
1971,23.9
1972,25.1
1973,22.2
1974,23.8
1975,26.1
1976,22.5
1977,17.8
1978,21.3
1979,20.4
1980,24.4
1981,24.9
1982,18.4
1983,23.5
1984,17.0
1985,23.6
1986,24.5
1987,27.9
1988,21.9
1989,21.1
1990,20.7
1991,21.0
1992,22.3
1993,21.9
1994,24.1
1995,21.6
1996,21.4
1997,27.5
1998,24.5
1999,20.8
2000,23.3
2001,27.3
2002,23.1
2003,25.0
2004,25.1
2005,24.4
2006,25.4
2007,24.1
2008,24.3
2009,25.9
2010,23.4
2011,26.2
2012,18.1
2013,18.7
2014,
2015,
2016,
2017,
2018,29.0
