,05-15
1881,13.8
1882,
1883,
1884,6.0
1885,12.2
1886,17.0
1887,14.1
1888,10.7
1889,11.0
1890,22.7
1891,12.0
1892,16.2
1893,12.0
1894,21.5
1895,10.4
1896,2.8
1897,24.9
1898,15.5
1899,17.9
1900,6.1
1901,15.9
1902,15.4
1903,10.9
1904,17.3
1905,12.6
1906,17.2
1907,7.0
1908,8.3
1909,10.7
1910,22.5
1911,9.8
1912,13.5
1913,8.2
1914,14.9
1915,21.4
1916,13.9
1917,13.0
1918,16.5
1919,4.2
1920,22.8
1921,19.7
1922,11.4
1923,13.9
1924,14.5
1925,18.4
1926,13.9
1927,10.5
1928,13.1
1929,17.7
1930,13.6
1931,19.6
1932,13.6
1933,9.1
1934,12.2
1935,8.6
1936,9.9
1937,13.3
1938,17.0
1939,17.5
1940,15.6
1941,9.1
1942,17.2
1943,16.6
1944,25.0
1945,9.1
1946,23.7
1947,15.3
1948,14.2
1949,19.8
1950,11.0
1951,7.5
1952,6.5
1953,20.0
1954,4.3
1955,20.6
1956,16.1
1957,18.9
1958,14.5
1959,24.6
1960,15.4
1961,18.1
1962,17.4
1963,18.1
1964,14.8
1965,6.4
1966,19.8
1967,15.3
1968,16.7
1969,17.2
1970,10.6
1971,10.9
1972,7.5
1973,13.9
1974,11.0
1975,27.0
1976,17.8
1977,22.8
1978,22.1
1979,15.7
1980,15.0
1981,16.3
1982,8.6
1983,16.7
1984,24.3
1985,12.3
1986,14.2
1987,25.6
1988,10.7
1989,13.2
1990,14.3
1991,14.2
1992,16.8
1993,26.8
1994,17.1
1995,12.9
1996,16.4
1997,19.7
1998,15.4
1999,11.7
2000,15.8
2001,14.6
2002,23.5
2003,16.6
2004,8.9
2005,16.5
2006,10.8
2007,18.6
2008,8.3
2009,5.8
2010,25.6
2011,18.3
2012,19.5
2013,16.5
2014,
2015,12.5
2016,
2017,12.1
2018,28.2
